Celltype	id	t	df	p.value	Mean non	Mean response	Var non	Var response	L	R	Ligand	Receptor
Bcells	FAS	-2.04680453284321	25.2417247043685	0.0512230647654155	4502.659	5066.769	850145.2	828346.8		1	FASLG	FAS
Bcells	CCR2	-2.69795349192433	28.0111113103774	0.0116830734866922	523.4332	592.7971	8635.071	6755.766		1	DEFB103B/CCL11/CCL13/CCL16/CCL24/CCL26/CCL2/CCL7/CCL8	CCR2
Epithelialcells	JAG1	-3.01431073787196	33.7794840760527	0.00485969453987929	680.5024	974.0829	156224.38	85133.16	1		JAG1	NOTCH1/NOTCH2/NOTCH3/NOTCH4
Myeloids	TNC	-2.14543494377219	28.1082250403735	0.0406989516604525	3875.746	4848.637	2699163	2097033	1		TNC	ITGA7/ITGB1/SDC1
Myeloids	CD14	-2.54272061716197	26.265517575733	0.0172265464126626	4782.358	5401.058	704985	630161.6	1		CD14	ITGA4/ITGB1
Myeloids	C1QB	-1.46380106547979	21.5427385107163	0.157688298999383	3857.023	4507.27	1641047	2359566	1		C1QB	LRP1
Myeloids	THBS2	-2.20860029605403	28.4320579687076	0.0354264756353518	3164.015	4314.356	3616717	2746022	1		THBS2	ITGA4/ITGA6/ITGB1/NOTCH3/CD47
Myeloids	CCL4	-1.70264628562084	21.8256316024718	0.102835685993079	3109.356	3554.599	585033.9	811697.2	1		CCL4	ACKR2/CCR1/CCR5/CCR8
Myeloids	TYROBP	-2.38731704314032	22.8144413467448	0.0256530585662655	2980.78	3378.884	260388.8	321857.9		1	SEMA6D	TYROBP
Myeloids	IL10RA	-2.27866099868844	23.8719676315096	0.0319277708947306	1470.314	1553.431	13552.2	14999.9		1	IL10/IL22	IL10RA
Myeloids	CCR1	-2.16254640449526	21.9735461529443	0.041730245226965	1624.296	1910.104	151594.3	206542.7		1	CCL13/CCL14/CCL15/CCL16/CCL23/CCL2/CCL3/CCL4/CCL5/CCL7/CCL8/SCYL2/SCYL3	CCR1
Myeloids	ITGAM	-2.86854196438304	26.915249623872	0.00792381417622219	689.515	861.8053	44539.37	37816.71		1	FGA/FGB/CTGF/CYR61/ICAM4	ITGAM
Myeloids	JAG1	-2.40942724828363	33.1441408664813	0.0216904111441972	3075.209	3466.702	425524.9	240335.4	1		JAG1	NOTCH1/NOTCH2/NOTCH3/NOTCH4
Myeloids	C3AR1	0.985571265743292	26.3169098545361	0.333318638055821	1488.61	1472.403	3229.139	2874.449		1	C3	C3AR1
Myeloids	CD86	-2.06509413379783	21.788620182159	0.0510142580400335	1128.084	1231.404	21337.51	29740.81	1		CD86	CD28/CTLA4
Myeloids	CLEC11A	-2.7418816714213	28.3067034503792	0.0104715429297098	980.1663	1087.2489	20213.35	15483.57	1		CLEC11A	KIT
Myeloids	APOE	-2.08100312545304	25.0363715928168	0.0478169841685123	2431.671	2587.068	61589.67	61109.94	1		APOE	LDLR/LRP5/LRP8/SORL1/VLDLR
Myeloids	CCL8	-3.29285080064786	34.030556457871	0.00231881420009127	915.2533	1296.2326	222302	119463.6	1		CCL8	ACKR2/CCR1/CCR2/CCR3/CCR5
Myeloids	VCAN	-2.45973691232405	24.4086300376661	0.0213549924786761	9577.431	11485.25	6369123	6693603	1		VCAN	EGFR/TLR2
Myeloids	TNFSF13B	-2.74019816323661	24.1160417156791	0.0113741629700082	2098.496	2493.389	215352	232731.8	1		TNFSF13B	TNFRSF13B/TNFRSF13C/TNFRSF17
Myeloids	CD274	-2.52820984584026	27.9381183166991	0.0173988818278442	725.2232	844.2944	28873.02	22708.69	1		CD274	PDCD1
Myeloids	CMKLR1	1.06233947682357	20.0817301757127	0.300690739937844	689.0492	677.0655	893.2468	1581.9462		1	RARRES2	CMKLR1
Myeloids	FPR3	-2.04586402543106	25.009777753358	0.0514218187928713	1360.156	1490.161	44523.01	44281.21		1	ANXA1/HEBP1	FPR3
Myeloids	TNFSF8	-3.13761534168766	31.5880762275858	0.00367447446313836	413.3128	451.3211	2235.791	1383.176	1		TNFSF8	TNFRSF8
Stromalcells	MMP2	-2.08213386809527	25.9997286929512	0.0473130423800186	4125.679	4782.818	1167872	1066863	1		MMP2	SDC2
Stromalcells	TEK	-2.29724888685044	25.1224542335862	0.0302092178876916	268.8371	307.189	3095.655	3048.14		1	ANGPT1/ANGPT2/ANGPT4/ANGPTL1	TEK
Stromalcells	JAG1	2.29811082520537	32.3069603881506	0.0281734373682451	1704.687	1488.076	139014.36	82404.06	1		JAG1	NOTCH1/NOTCH2/NOTCH3/NOTCH4
Stromalcells	MFAP5	-2.49142804989625	26.102058026327	0.0194023942772086	856.1311	1110.383	122839.2	111273.9	1		MFAP5	NOTCH1
Stromalcells	C3AR1	-2.14739658975239	26.0993345764964	0.0412212487715545	584.1884	674.3804	20804.06	18849.57		1	C3	C3AR1
Stromalcells	LAMA2	-2.90571718862448	25.2112553272185	0.00752617281774944	351.7038	389.7596	1916.056	1871.927	1		LAMA2	ITGA7/ITGB1/RPSA
Tcells	IL17A	1.60969349233928	32.6221738776496	0.117100574555907	458.2153	332.2496	96911.65	56400.92	1		IL17A	IL17RC/IL17RA/IL17RB
