Celltype	id	t	df	p.value	Mean non	Mean response	Var non	Var response	L	R	Ligand	Receptor
Bcells	SIGLEC10	-2.36365831594411	29.8570729781709	0.0248028283495711	529.9433	656.1525	40524.37	27940.58	0	0		
Bcells	PRKAR2B	1.29778572106941	36.806398937426	0.202435637675762	931.9673	931.5937	1.4996762	0.6948397	0	0		
Bcells	RIMS3	-3.42230480980307	31.7694124078716	0.00172742696008518	888.6555	1084.2121	50089.59	30652.31	0	0		
Bcells	FAS	-2.04680453284321	25.2417247043685	0.0512230647654155	4502.659	5066.769	850145.2	828346.8	0	1	FASLG	FAS
Bcells	CFD	-2.88760738392381	32.8540687380397	0.00681632097721389	3908.378	5030.851	2410977	1384494	0	0		
Bcells	PTGER2	-1.28761235155527	25.9075239795489	0.209264772623294	906.9913	932.2437	4484.988	4128.515	0	0		
Bcells	CCR2	-2.69795349192433	28.0111113103774	0.0116830734866922	523.4332	592.7971	8635.071	6755.766	0	1	DEFB103B/CCL11/CCL13/CCL16/CCL24/CCL26/CCL2/CCL7/CCL8	CCR2
Bcells	TP53I3	-2.19927960801916	28.3254524109681	0.0361823107648072	3092.321	3452.31	355390.4	271870.3	0	0		
Bcells	MUC1	-2.69809022380375	26.0707863787426	0.0120690142073548	4627.012	5816.679	2289017	2078835	0	0		
Bcells	AIF1	-2.09468212058329	32.0345621268677	0.0441944729368855	2985.849	3052.022	15461.572	9313.511	0	0		
Bcells	PRKCH	-2.10467871752888	30.4039669658562	0.0436876979988462	544.0248	559.0907	745.1421	496.0018	0	0		
Bcells	TRIM36	2.12682739853561	28.6523174346015	0.0421737838526499	297.8481	262.4521	3731.128	2789.61	0	0		
Bcells	SNX24	-2.79784935937921	29.67283595327	0.00894625660608269	1128.52	1287.029	45262.44	31586.08	0	0		
Bcells	IL18BP	-2.04139794039184	22.8235560547894	0.0529377116227984	1345.386	1440.464	20328.08	25101.62	0	0		
Bcells	FAM107B	-1.33395857462136	28.9676748711471	0.192610973854625	4927.29	5199.367	568598	415986	0	0		
Bcells	PARVG	-2.88539361862792	30.9794245856772	0.00705763194210894	285.8547	461.7513	55305.23	35510.1	0	0		
Bcells	ITLN1	-2.85663272576142	30.8920697384413	0.00759183983607978	26521.38	41175.93	390299733	251961979	0	0		
