ID	S01_Fib	S02_Fib	S03_Fib	S04_Fib	S05_Fib	S06_Fib	S07_Fib	S08_Fib	S01_End	S02_End	S03_End	S04_End	S05_End	S06_End	S07_End	S08_End
GSM3374350_response	0.132829912	0.058971965	0.101392973	0.044087483	0.090378432	0.200195203	0.046123687	0.195748751	0.132829912	0.058971965	0.101392973	0.044087483	0.090378432	0.200195203	0.046123687	0.195748751
GSM3374352_response	0.093122792	0.24667024	0.014497708	0.088305489	0.151697957	0.127995194	0.09681248	0.019943358	0.093122792	0.24667024	0.014497708	0.088305489	0.151697957	0.127995194	0.09681248	0.019943358
GSM3374356_response	0.128034476	0.05404132	0.03299771	0.146106621	0.090128619	0.16961872	0.099066153	0.090180548	0.128034476	0.05404132	0.03299771	0.146106621	0.090128619	0.16961872	0.099066153	0.090180548
GSM3374362_response	0.044182878	1.14E-14	0.170753112	0.013058428	0.106296769	0.046985903	0.077375095	0.155232782	0.044182878	1.14E-14	0.170753112	0.013058428	0.106296769	0.046985903	0.077375095	0.155232782
GSM3374366_response	0.010693504	0.284764932	0.164550733	0.022919065	0.107626221	0.010887879	0.188129671	0.01130392	0.010693504	0.284764932	0.164550733	0.022919065	0.107626221	0.010887879	0.188129671	0.01130392
GSM3374368_response	0.034791407	0.098784618	0.053654125	0.081777221	4.66E-08	0.025832092	0.186049442	0.084894842	0.034791407	0.098784618	0.053654125	0.081777221	4.66E-08	0.025832092	0.186049442	0.084894842
GSM3374369_response	0.156355761	0.05353493	0.074827829	9.85E-15	0.052736218	0.274537591	0.127092293	0.091176393	0.156355761	0.05353493	0.074827829	9.85E-15	0.052736218	0.274537591	0.127092293	0.091176393
GSM3374370_response	0.089852635	0.000612876	0.003090471	0.028916238	0.073818498	0.176117939	8.91E-15	0.088040646	0.089852635	0.000612876	0.003090471	0.028916238	0.073818498	0.176117939	8.91E-15	0.088040646
GSM3374386_response	0.000558571	0.284499512	0.222602193	0.085744806	0.021767046	0.012584874	0.181040965	0.015215172	0.000558571	0.284499512	0.222602193	0.085744806	0.021767046	0.012584874	0.181040965	0.015215172
GSM3374396_response	0.009232866	0.211675674	0.015662893	0.112002635	0.067046084	0.046618466	0.058089227	0.000668758	0.009232866	0.211675674	0.015662893	0.112002635	0.067046084	0.046618466	0.058089227	0.000668758
GSM3374401_response	0.038403232	0.070747844	0.030509845	0.101826146	0.120197646	0.076320281	0.022109021	0.021076451	0.038403232	0.070747844	0.030509845	0.101826146	0.120197646	0.076320281	0.022109021	0.021076451
GSM3374412_response	0.031284561	0.199064354	0.137138632	0.07126962	0.030322139	0.034646484	0.067634401	0.101707722	0.031284561	0.199064354	0.137138632	0.07126962	0.030322139	0.034646484	0.067634401	0.101707722
GSM3374413_response	0.011657693	0.154453123	0.201797073	0.071042046	0.025305766	0.014047217	0.054747635	0.053228829	0.011657693	0.154453123	0.201797073	0.071042046	0.025305766	0.014047217	0.054747635	0.053228829
GSM3374414_response	0.08948411	0.000298587	0.041476234	4.21E-09	0.115076002	0.21005013	0.024500697	0.156688004	0.08948411	0.000298587	0.041476234	4.21E-09	0.115076002	0.21005013	0.024500697	0.156688004
GSM3374415_response	0.036082367	1.28E-14	0.030065412	0.085659441	0.044878493	0.034528637	1.28E-14	0.055951812	0.036082367	1.28E-14	0.030065412	0.085659441	0.044878493	0.034528637	1.28E-14	0.055951812
GSM3374353_non	0.060102234	0.184336457	9.15E-15	0.108239354	0.122465359	0.108300292	0.146342301	0.080829716	0.060102234	0.184336457	9.15E-15	0.108239354	0.122465359	0.108300292	0.146342301	0.080829716
GSM3374354_non	0.086590842	0.045380966	0.256080151	0.052433103	0.04568824	0.089809528	0.122065272	0.211270578	0.086590842	0.045380966	0.256080151	0.052433103	0.04568824	0.089809528	0.122065272	0.211270578
GSM3374355_non	0.033978222	0.373460325	0.028017383	0.128539644	0.147166686	0.067689723	0.115147693	0.032570752	0.033978222	0.373460325	0.028017383	0.128539644	0.147166686	0.067689723	0.115147693	0.032570752
GSM3374357_non	0.154746294	0.045388785	0.003034444	0.002666439	0.132049051	0.139760764	9.10E-15	0.109922746	0.154746294	0.045388785	0.003034444	0.002666439	0.132049051	0.139760764	9.10E-15	0.109922746
GSM3374358_non	0.08418974	0.250000906	0.145002455	1.00E-14	0.089901429	0.08592412	0.018840248	0.095225095	0.08418974	0.250000906	0.145002455	1.00E-14	0.089901429	0.08592412	0.018840248	0.095225095
GSM3374359_non	0.132264812	0.028274633	9.34E-15	0.03107274	0.113663585	0.156085732	0.013067578	0.027488168	0.132264812	0.028274633	9.34E-15	0.03107274	0.113663585	0.156085732	0.013067578	0.027488168
GSM3374360_non	0.071958112	0.023931592	0.051311423	0.06725245	0.141531492	0.13554749	1.30E-14	0.099606118	0.071958112	0.023931592	0.051311423	0.06725245	0.141531492	0.13554749	1.30E-14	0.099606118
GSM3374361_non	0.164346488	0.020992846	0.013498066	5.77E-15	0.076749915	0.295980427	0.007598846	0.089016112	0.164346488	0.020992846	0.013498066	5.77E-15	0.076749915	0.295980427	0.007598846	0.089016112
GSM3374363_non	0.075175984	0.157824479	1.03E-14	0.00586107	0.102439386	0.094395762	0.253326118	0.028439267	0.075175984	0.157824479	1.03E-14	0.00586107	0.102439386	0.094395762	0.253326118	0.028439267
GSM3374364_non	0.081266744	0.061483908	0.099032117	0.003354116	0.137643903	0.10115618	1.23E-14	0.215087089	0.081266744	0.061483908	0.099032117	0.003354116	0.137643903	0.10115618	1.23E-14	0.215087089
GSM3374365_non	0.149125706	0.043129735	1.97E-12	7.43E-15	0.090326112	0.235859321	0.049326324	0.118059538	0.149125706	0.043129735	1.97E-12	7.43E-15	0.090326112	0.235859321	0.049326324	0.118059538
