V1	V2
B_TRIM36	up
Epithelial_GAMT	up
Epithelial_KCNH8	up
Epithelial_FAM201A	up
Epithelial_FAM111B	up
Epithelial_LOC283177	up
Epithelial_LOC728613	up
Epithelial_GNG4	up
Epithelial_CEACAM8	up
Epithelial_CYP2B6	up
Epithelial_NEU1	up
Epithelial_TSPAN6	up
Epithelial_AZGP1	up
Epithelial_SLC19A2	up
Epithelial_GRB7	up
Epithelial_LYPLA1	up
Epithelial_PRMT3	up
Epithelial_TOX3	up
Epithelial_MST4	up
Epithelial_MOSPD1	up
Epithelial_RNF128	up
Epithelial_PXMP4	up
Epithelial_CEP72	up
Epithelial_RNF39	up
Epithelial_FAM122B	up
Epithelial_ANKH	up
Epithelial_EPB41L5	up
Epithelial_PDZD8	up
Epithelial_PARD6B	up
Epithelial_SLC19A3	up
Epithelial_CELSR3	up
Myeloids_UPP1	up
Myeloids_IFI35	up
Myeloids_RGL1	up
Myeloids_LHFPL2	up
Myeloids_ADAP2	up
Myeloids_PARVG	up
Stromal_PRCP	up
Stromal_C9orf3	up
Stromal_MICALL2	up
T_QPRT	up
T_PLAG1	up
T_FMR1	up
T_MST4	up
B_SIGLEC10	down
B_RIMS3	down
B_CFD	down
B_TP53I3	down
B_MUC1	down
B_AIF1	down
B_PRKCH	down
B_SNX24	down
B_PARVG	down
B_ITLN1	down
B_FKBP5	down
B_PARM1	down
B_EMB	down
B_LINC00261	down
B_FRMD3	down
B_FFAR4	down
B_LOC643733	down
B_DENND2A	down
Epithelial_LOC284926	down
Epithelial_UPP1	down
Epithelial_KDELR3	down
Epithelial_FGFBP1	down
Epithelial_IRF7	down
Epithelial_GALNT10	down
Epithelial_C9orf3	down
Epithelial_MTCL1	down
Epithelial_KAZN	down
Epithelial_MUC1	down
Epithelial_GPR161	down
Epithelial_MUC5AC	down
Epithelial_PARP12	down
Epithelial_ASRGL1	down
Epithelial_USP18	down
Epithelial_FKBP5	down
Epithelial_ELOVL7	down
Epithelial_S100A16	down
Myeloids_CLEC12A	down
Myeloids_WARS	down
Myeloids_CKAP4	down
Myeloids_LGALS1	down
Myeloids_EMP1	down
Myeloids_COL6A3	down
Myeloids_PRCP	down
Myeloids_PPP4R1	down
Myeloids_SH3BP5	down
Myeloids_CTSL	down
Myeloids_ARL4C	down
Myeloids_PCOLCE	down
Myeloids_PLEK	down
Myeloids_HMOX1	down
Myeloids_IGFBP6	down
Myeloids_CYBB	down
Myeloids_COL7A1	down
Myeloids_FCER1G	down
Myeloids_ISG20	down
Myeloids_EML1	down
Myeloids_TFF1	down
Myeloids_PDGFRL	down
Myeloids_KCNJ8	down
Myeloids_OASL	down
Myeloids_TFEC	down
Myeloids_PTGFR	down
Myeloids_TUBB6	down
Myeloids_BLVRA	down
Myeloids_IGFBP5	down
Myeloids_PXDN	down
Myeloids_C9orf3	down
Myeloids_AHNAK2	down
Myeloids_ANGPTL2	down
Myeloids_LPPR4	down
Myeloids_HLX	down
Myeloids_FCGR1B	down
Myeloids_CD163	down
Myeloids_AIF1	down
Myeloids_RAB31	down
Myeloids_SOBP	down
Myeloids_SLAMF8	down
Myeloids_TMEM45A	down
Myeloids_AGPAT4	down
Myeloids_PILRA	down
Myeloids_MS4A7	down
Myeloids_ADAMTS2	down
Myeloids_PIK3AP1	down
Myeloids_BCAT1	down
Myeloids_CD109	down
Myeloids_PRRX1	down
Myeloids_FAM20C	down
Myeloids_FAM20A	down
Myeloids_ASPHD2	down
Myeloids_GPX8	down
Myeloids_PIK3R5	down
Myeloids_FAM65C	down
Myeloids_MRGPRF	down
Myeloids_DDX60L	down
Myeloids_TWIST2	down
Myeloids_IFIT3	down
Myeloids_MS4A14	down
Myeloids_GBP5	down
Myeloids_GAS2L1	down
Myeloids_PI3	down
Stromal_NREP	down
Stromal_COL1A2	down
Stromal_LOXL1	down
Stromal_PRKAR2B	down
Stromal_VASH1	down
Stromal_MAOB	down
Stromal_COL16A1	down
Stromal_LRRC17	down
Stromal_PCDH17	down
Stromal_FOXF1	down
Stromal_CILP	down
Stromal_COL6A2	down
Stromal_RGL1	down
Stromal_NFATC1	down
Stromal_COL5A1	down
Stromal_COL6A1	down
Stromal_COL3A1	down
Stromal_MAFB	down
Stromal_ADAP2	down
Stromal_TRPS1	down
Stromal_AMOTL1	down
Stromal_STAT2	down
Stromal_GPSM1	down
Stromal_MRVI1	down
Stromal_ZNF521	down
Stromal_SFMBT2	down
Stromal_SHANK3	down
Stromal_PAPPA	down
Stromal_ALPK2	down
Stromal_RUNX1T1	down
Stromal_ARL10	down
Stromal_CD84	down
T_OAS2	down
