id	S01	p.value_S01	S02	p.value_S02	S03	p.value_S03	S04	p.value_S04	S05	p.value_S05	S06	p.value_S06
Bcells_SIGLEC10	-0.361498414976381	0.00619198544185686	0.484472338927613	0.000154618178836289	0.38551565820175	0.0033440045889067	0.337929366336836	0.0108586875206028	-0.10297047201962	0.450133983093028	-0.0766064370050561	0.57468436657909
Bcells_RIMS3	-0.248114660480576	0.0652137288454065	0.604261630523234	8.17255418860738e-07	0.0391711188485762	0.774396821720688	-0.212826024043246	0.115296934635269	0.470984108562748	0.000248785766498807	-0.179468397941326	0.1856683006602
Bcells_CFD	-0.262060795076837	0.0510451979385641	0.677052931744654	1.00850996531714e-08	-0.0425355984815935	0.755596162577408	-0.177363033991356	0.190967048628272	0.402915370702563	0.00207846148104998	-0.11366219695347	0.404228121626918
Bcells_TP53I3	-0.238529944761683	0.0766626331422238	0.592135224778425	1.53228692379681e-06	0.0705736495718771	0.605254921107874	-0.102811433748601	0.450837786142789	0.595797217912252	1.27081267066942e-06	-0.313859895740435	0.0184927049670232
Bcells_MUC1	-0.126815655482121	0.351664801031659	0.546739728530755	1.30305520842909e-05	-0.00576275308948294	0.966377386914949	-0.145946962817965	0.283139405338135	0.465104287006344	0.000304250212745466	-0.366975498368621	0.00540184475815397
Bcells_AIF1	-0.307691156818024	0.0210607899433239	0.541371446516244	1.64478129712975e-05	0.405114546492791	0.00195366037372721	0.145067181068549	0.286082904234441	0.0600322856923822	0.660295721268895	-0.142004949527726	0.296484441227537
Bcells_PRKCH	-0.500556827725496	8.53972481347022e-05	0.732286564200136	1.42037937573185e-10	0.447786217276737	0.000539169868910536	0.0384485168642291	0.77845195182004	0.091749749364678	0.501248099652661	-0.0325848703178219	0.811565916572438
Bcells_TRIM36	0.43876492103953	0.000717897841424078	-0.663557159809277	2.49521143531504e-08	0.0353674983402799	0.795806783930795	0.169173774620865	0.212605010887883	-0.533604842369441	2.28776244024043e-05	0.0237912704962993	0.861828830519088
Bcells_SNX24	-0.351772661646934	0.00784629583418618	0.654335831452719	4.51457566228899e-08	0.13337887251089	0.327090171095675	-0.0362108653422395	0.791046092350126	0.431891020280485	0.000888250500714334	-0.274513706207306	0.0406132838728375
Bcells_PARVG	-0.208361492340882	0.123308214484281	0.550233061460194	1.11738707747956e-05	0.347456571398524	0.00869592652814892	0.231694153275679	0.0857599532460973	-0.197653454422218	0.144237409329287	-0.0493484277937411	0.717964216913427
Bcells_ITLN1	-0.422051922043408	0.00119557064015849	0.661328682310304	2.8850590900171e-08	-0.0721605786925745	0.597144865485459	-0.192542300062667	0.155113696691659	0.554788769674802	9.12026820547687e-06	-0.0843882200201246	0.53633475988607
Bcells_FKBP5	-0.325436126147277	0.0143874727339373	0.421602051897807	0.00121166726022096	0.284123458464007	0.0338225634580097	0.283346856360919	0.0343337776459794	-0.0281350403831552	0.836919504948904	-0.0918801010219031	0.500637648315241
Bcells_PARM1	-0.479724343124895	0.000183211184685122	0.714797581849655	6.09947869859038e-10	-0.0748472659075361	0.583525204258731	-0.23939653126522	0.0755661414681756	0.57066830307142	4.38740798781788e-06	-0.0110623509355272	0.935506872782944
Bcells_EMB	-0.321573735567693	0.0156604004564183	0.499916605713294	8.74889156367002e-05	0.084879498497914	0.533956375364612	0.00454029032736114	0.973506918611537	0.39885681857265	0.00232756147004824	-0.152824175527647	0.260818800103949
Bcells_LINC00261	-0.400110091887165	0.00224794580034387	0.655203510968894	4.27328532933861e-08	-0.0830005726514054	0.543080518457307	-0.2502292858552	0.0628824156409219	0.639513798506744	1.1235660419625e-07	-0.170969262750548	0.207719719178084
Bcells_FRMD3	-0.404579639233615	0.00198338427339733	0.676307692931132	1.06155007939687e-08	-0.0829322705867538	0.543413612009297	-0.247388603603769	0.0660299779099969	0.629515116422806	2.02292737400837e-07	-0.119912334020167	0.378704950398604
Bcells_FFAR4	-0.300737587319747	0.0243114760028033	0.625834189514106	2.49880076991184e-07	-0.114167755913615	0.402127191623842	-0.114134427603709	0.402265496368706	0.622270994749951	3.05788469960089e-07	-0.247186809944771	0.0662582858234233
Bcells_LOC643733	-0.231821792173987	0.0855826490346415	0.502844681949985	7.82920984882528e-05	0.103522352159722	0.447696408693472	0.211556918642394	0.117532646013393	0.364424389553136	0.00575813505149864	-0.308833818965453	0.0205635206126862
Bcells_DENND2A	-0.309839292403123	0.0201342181338634	0.527503033040619	2.94812685727848e-05	-0.127436851860629	0.349291355849126	-0.247292138469011	0.0661390391552897	0.519817511520787	4.0298029096357e-05	-0.0632500983944182	0.643286149808308
Epithelialcells_GAMT	0.375046795335057	0.00439873587746621	-0.383737413389248	0.00350558979839833	-0.317458915517674	0.0171212478052848	-0.0019687748893944	0.988510320714065	-0.00329521742737629	0.980770426990653	-0.225339049123962	0.0949584622997123
Epithelialcells_KCNH8	0.0369476573369398	0.786893187095019	-0.375307958677393	0.00436922098025455	0.105989322911832	0.436889767519103	0.222724703373926	0.0989583924582325	-0.222646813093364	0.0990795381991587	0.101365735796283	0.457263227701422
Epithelialcells_LOC284926	0.0349901384924264	0.79793933461016	0.340010749615151	0.010350181956394	0.163455400108695	0.228699531750864	0.15877151755492	0.242495891461439	0.157910808120348	0.245091685408863	-0.518349341270986	4.27408233393527e-05
Epithelialcells_FAM201A	0.0781242506881505	0.567106355077536	-0.228219383856345	0.0906985405482261	0.0144070159618545	0.916069512747647	0.037110874916808	0.78597400833958	-0.133518414143002	0.326579748112451	0.0869274978145272	0.524097690146089
Epithelialcells_FAM111B	0.212847060343671	0.115260151990199	-0.486398821596562	0.000144228781541559	-0.236927436758615	0.0787234651034678	-0.0864216090145732	0.526524483424611	-0.122059277575901	0.370165263100561	0.322615049662	0.0153080802448475
Epithelialcells_LOC283177	-0.0215045113947587	0.874997708456314	-0.0637877369517564	0.640461487368743	-0.319523188934298	0.0163744864185073	-0.202572135745303	0.134317171631071	-0.114944266319301	0.398912707212559	0.250930033616513	0.0621248032430927
Epithelialcells_LOC728613	-0.129259079453554	0.342386260302008	-0.1617276312378	0.233724001841814	-0.0972858922959448	0.475662882946878	-0.0660852098396998	0.628448301875236	-0.0864848405060167	0.526220851638096	0.340979086136064	0.010120712667979
Epithelialcells_UPP1	0.146192067780627	0.282322918880002	-0.00571478644774144	0.966657087815969	0.40221492186783	0.00211967703769808	0.176912190773858	0.192115645819266	-0.0702143651408837	0.607097694432477	-0.251822275466672	0.0611707980546336
Epithelialcells_KDELR3	0.039955616860719	0.770001106784879	0.143891070974126	0.290049109138148	0.177954208506521	0.189468389380476	-0.0301856161434572	0.825213928599827	0.445656319402042	0.000577284897615607	-0.478050329086493	0.000194391850530528
Epithelialcells_FGFBP1	0.106183759301176	0.436044287887877	0.101144975241522	0.458248782916337	-0.206208535236017	0.127319340617333	-0.111911983042809	0.411550543359695	0.438018262193666	0.000734854289620706	-0.248587476231491	0.0646865412187245
Epithelialcells_GNG4	0.298762807945222	0.0253082482760782	-0.375894451697072	0.00430357446195252	-0.0604719591033513	0.657961244308642	-0.0229465779708263	0.866689054665076	-0.385043797226019	0.00338622600212022	0.353950886671157	0.00744563876453885
Epithelialcells_CEACAM8	0.414970570083844	0.00147259578423326	-0.552615870192328	1.0051600846681e-05	-0.172423581889156	0.203821126309355	0.0322552949182644	0.813437489067706	-0.102803145537963	0.450874481125688	-0.0612070051260879	0.654065705020286
Epithelialcells_CYP2B6	0.138399466187528	0.309042521110241	-0.361666829906192	0.00616625937351448	-0.217958623026163	0.10658537146449	-0.0447293728566754	0.743411968339569	-0.275202038991364	0.0400921684255776	0.39069369043984	0.0029103859278193
Epithelialcells_IRF7	0.0431294133699799	0.752292145764413	0.133140097416517	0.327964742803509	0.328268628817359	0.0135112896567588	0.526791511293868	3.03564618099871e-05	0.0166110134021023	0.903286986331624	-0.393295095122022	0.00271197437559507
Epithelialcells_NEU1	0.376314567250923	0.00425708639642527	-0.619613982045192	3.54894967570523e-07	-0.174748990050066	0.197695442076243	0.0838029440697193	0.539174952824603	-0.139518706757416	0.305108111574891	0.137947890685597	0.310639107378112
Epithelialcells_TSPAN6	0.0532788876564701	0.696545868863606	-0.24768625687218	0.06569436556234	-0.331268873829726	0.0126335770974705	-0.102284180000318	0.453175404242685	-0.0522182488303844	0.702303332671483	0.438778481682354	0.0007175931751557
Epithelialcells_AZGP1	0.47964474377445	0.000183729230946274	-0.698874355989725	2.09937512860371e-09	0.0111182270253798	0.935181812775754	0.125052151634973	0.358456661089658	-0.264389328632012	0.0489441842411298	0.0561150060168513	0.681234577639745
Epithelialcells_SLC19A2	0.110818777106332	0.416162767484757	-0.465004802288888	0.000305278533638829	0.0939226889038999	0.491122240376122	0.00670010583079099	0.960912386607545	-0.293507210259405	0.0281297915903432	0.321982553368052	0.0155212623472333
Epithelialcells_GRB7	0.352515788119936	0.0077075474524632	-0.551928203931173	1.03642454555891e-05	-0.285015609966047	0.0332431093242064	0.0122816540806505	0.928416022638743	-0.153388253488255	0.259042074529052	0.106050478900859	0.436623740326909
Epithelialcells_GALNT10	-0.031948646755596	0.81517979434461	0.28373200697458	0.0340794481336716	0.305254917964229	0.0221550761297885	0.0360920538711957	0.791716312931265	0.245538801385525	0.0681465766228573	-0.328342853932241	0.0134889596334634
Epithelialcells_LYPLA1	0.178868741462752	0.187166625133575	-0.490687076599449	0.000123356278645892	-0.129512084191803	0.341434285331418	-0.0538392386726755	0.693510937644442	-0.235305824278254	0.0808532107743047	0.37515510330966	0.0043864744064134
Epithelialcells_C9orf3	-0.198529505952524	0.142431724855278	0.256570882758018	0.0562900329650147	0.474309088729358	0.000221664980070041	0.0959210028370948	0.481905287452863	-0.070918702618942	0.60348743776214	0.0370093600040608	0.786545667357284
Epithelialcells_PRMT3	0.255201229520068	0.0576643075232391	-0.643800759836126	8.67481811241021e-08	-0.126074755215825	0.354508554035777	0.0173887524774795	0.898781973040815	-0.353297184832396	0.00756396297654904	0.406400712056914	0.00188381052498067
Epithelialcells_MTCL1	-0.0196649913312281	0.885615695588827	0.102639069638946	0.451601244165444	0.366771852542194	0.00542955815587252	0.265367937324747	0.0480825089232977	-0.03121316314783	0.819362252010497	-0.137141124268369	0.313504647985574
Epithelialcells_KAZN	-0.213890526824361	0.11344684962469	0.366189721854609	0.00550946716425946	0.100539409001704	0.460958185644775	-0.214991137625607	0.111557994259326	0.161469540235393	0.234481025265465	0.0312662267988502	0.819060327450829
Epithelialcells_MUC1	-0.166841843434814	0.219069503640608	0.519232440407276	4.12556375341734e-05	-0.153605454985539	0.25836011434455	-0.106560820774584	0.434407304092985	0.588297203819973	1.85967697877912e-06	-0.315808593533862	0.0177389645172751
Epithelialcells_GPR161	-0.374614531977063	0.00444797328275362	0.527665068989156	2.92852443383104e-05	0.347545216972626	0.00867770364478201	-0.0106371958986284	0.937980557172533	0.104535198164657	0.443241844327509	-0.0874813235038939	0.521447344282528
Epithelialcells_MUC5AC	0.190638249210535	0.159316399212061	-0.0605075337257942	0.657772499645127	0.0806263306061082	0.554716787915075	-0.109490807764792	0.421805142336952	0.239108813780967	0.0759288022916209	-0.173725991096372	0.20037393741575
Epithelialcells_TOX3	-0.390051928229168	0.00296127091879777	-0.0798148781917098	0.558720736912702	-0.234999142518853	0.0812610565020097	-0.131607727844408	0.333612468567625	0.0820669885482856	0.547641931330773	0.514637226997644	4.95386449195473e-05
Epithelialcells_MST4	0.148848641649419	0.273573002433227	-0.416496683987966	0.00140845388240489	-0.02109201642805	0.87737685773267	0.196206908165447	0.147256221053876	-0.386103700204694	0.00329203990871321	0.345194113593734	0.00917240373680603
Epithelialcells_PARP12	-0.00419146617148992	0.975541699454163	0.122277656277566	0.369303204292322	0.348462210654012	0.00849113461348941	0.51130708341519	5.64702045020677e-05	-0.00310866104458135	0.981858907723637	-0.158516682156553	0.243262477634758
Epithelialcells_MOSPD1	0.0151595292900634	0.911702624315539	-0.369673953588734	0.00504616816154164	0.153168229489175	0.25973413139158	0.0702531885150957	0.606898451656057	-0.361375729214253	0.00621078526789882	0.498661712394869	9.17257971069547e-05
Epithelialcells_ASRGL1	-0.0320820221238819	0.81442187607946	0.240979198546719	0.0735957274401111	-0.0639681924264251	0.639514535724858	-0.083061134681356	0.542785253973866	0.573432952284649	3.84746524125759e-06	-0.279601151944435	0.036890400770297
Epithelialcells_USP18	0.0824164660644139	0.545932259535546	-0.0923651877114412	0.498369303047211	0.170610308190213	0.208690002889613	0.654282239292492	4.52989180113878e-08	-0.0727730732422968	0.594027593557516	-0.23750574464419	0.0779747656391803
