id	S01_MM	p.value_S01_MM	S02_MM	p.value_S02_MM	S03_MM	p.value_S03_MM	S04_MM	p.value_S04_MM	S05_MM	p.value_S05_MM	S06_MM	p.value_S06_MM	S07_MM	p.value_S07_MM	S08_MM	p.value_S08_MM	S09_MM	p.value_S09_MM	S01_Den	p.value_S01_Den	S02_Den	p.value_S02_Den	S03_Den	p.value_S03_Den	S04_Den	p.value_S04_Den	S05_Den	p.value_S05_Den	S06_Den	p.value_S06_Den	S07_Den	p.value_S07_Den	S08_Den	p.value_S08_Den	S01_PMN	p.value_S01_PMN	S02_PMN	p.value_S02_PMN	S03_PMN	p.value_S03_PMN
Bcells_SIGLEC10	0.589215604106762	1.77587438325369e-06	0.105492656079672	0.439053614618567	0.468440754764829	0.000271535436060691	0.373211390720924	0.00461116024290527	0.414560163693564	0.00149028537371301	0.430950549670232	0.000914192180728575	-0.34814282293124	0.00855571689897504	-0.0372643400666587	0.785110015911031	-0.459468722372385	0.00036774101370154	0.584445280029667	2.25299561476047e-06	0.459709811872003	0.000364795738441507	0.138364043602183	0.30916756999872	-0.350471581503834	0.00809445958223455	0.406039144943451	0.00190321791707713	0.166081373596395	0.221207003769276	-0.0747809100224435	0.583859882340726	0.451621826525544	0.00047622923729062	-0.348698507529012	0.00844362686796461	0.355809395142687	0.00711800583340128	0.476139453047606	0.000207913614543684
Bcells_RIMS3	0.283019771821383	0.0345509996784098	0.446677479153729	0.000558716920918835	0.137584166902344	0.311928925653624	0.174523195971705	0.198284432440333	0.690901723272256	3.78438119871764e-09	0.143592498606465	0.291061684282945	-0.591946173198482	1.54706283310579e-06	-0.162927627909834	0.230226334256622	-0.211056747397902	0.118422797377401	0.187149283478767	0.167233638117573	0.312556829941965	0.0190117741325301	-0.147377369374433	0.278396387972827	-0.0866614173472878	0.525373406666773	0.600968559005382	9.71860493432032e-07	0.239772592683124	0.0750941983144963	-0.158717402318372	0.242658540613854	0.0295018751619713	0.829112955562618	-0.308438419562556	0.0207344546176619	0.649550619988541	6.09272987230686e-08	0.0603808774695605	0.658444583454792
Bcells_CFD	0.39075639737564	0.00290545575989029	0.469098857153084	0.000265474001688106	0.180208414178251	0.183831174671075	0.00759440162293964	0.955700078960819	0.679445387355395	8.54636245897347e-09	0.150169742562892	0.269289524296796	-0.65225805240268	5.14553942406453e-08	-0.204711999084831	0.130165097679986	-0.256835268764355	0.0560278313075284	0.342490139499874	0.00977142873673987	0.156141018647216	0.25048851747062	-0.223750862437993	0.0973730748595929	-0.073822144098237	0.58870526013847	0.615917470152154	4.3560282256793e-07	0.164897846201105	0.224562442536394	-0.194626942894586	0.150606831949712	-0.0145959395828853	0.914972938968601	-0.278447410664549	0.0377089114815285	0.699663361002199	1.97839531226267e-09	-0.00535438174064204	0.968758788565296
Bcells_TP53I3	0.351943846576416	0.00781414278998704	0.41974415974223	0.00128022389599984	0.218345970816308	0.105949095792588	0.176041675713105	0.194347377471941	0.651466578094499	5.40702457889711e-08	0.0896871548358558	0.510958227101503	-0.582159976356728	2.52168900898221e-06	-0.070426888757487	0.606007364460687	-0.301656941533172	0.0238588349074123	0.301391135548405	0.0239889676511299	0.30502905841787	0.0222589161376714	-0.152537444041378	0.261725076305947	-0.0643775095111783	0.637368735045489	0.587828269923706	1.9038760561513e-06	0.156529146206017	0.249298106431209	-0.21582944610059	0.11013555177951	0.0348476693225294	0.798744844088109	-0.323699208239656	0.01494849116822	0.610263861907939	5.92936402307723e-07	0.0520612139640185	0.703157186933688
Bcells_MUC1	0.275488296119062	0.0398770808742233	0.42505597512459	0.00109291463363096	0.192467175411689	0.155277948970429	0.0959337976519235	0.481846569238811	0.587673124380593	1.91871369882093e-06	0.162909015366339	0.230280307117591	-0.458986091103192	0.000373702084074805	-0.365633352959735	0.00558680189479841	-0.015226060123778	0.91131666391995	0.26223435111947	0.0508861100687254	0.169759546976815	0.211002417742683	0.0223925318347159	0.869879620498907	-0.100606223302093	0.460658821059241	0.512825831251392	5.32052146301845e-05	0.262471874173004	0.0506690419913023	-0.257919696784289	0.0549626861969102	-0.00700708097149978	0.959123020730857	-0.0726938689531462	0.594430293829113	0.532726989063875	2.37348833390625e-05	0.00552315496103516	0.967774560080698
Bcells_AIF1	0.472816542939701	0.000233486843831356	0.440042175573047	0.000689708787898834	0.467172752100443	0.000283570989083241	0.386941333254801	0.00321925343429954	0.659699186117732	3.20570319744822e-08	0.435514371178888	0.000794388167445866	-0.467003274391861	0.000285215900684235	-0.119318405569308	0.381088007057406	-0.379581702207413	0.00391040894980502	0.436430145846368	0.000772127667836749	0.547129588211439	1.28100097401352e-05	0.0169405534760862	0.901377764707902	-0.195000658028506	0.149809245756869	0.604363087126222	8.12879351866079e-07	0.313856434746789	0.0184940675068883	-0.095041691635449	0.485949686674103	0.389875322135834	0.00297541161286756	-0.318028825265682	0.0169122345582381	0.604668027010755	7.99858144576287e-07	0.381275571946944	0.00374067539858538
Bcells_PRKCH	0.615594266127051	4.43422079721118e-07	0.237700575106574	0.0777238034484462	0.351519103032712	0.00789413244441158	0.361639205478452	0.00617047269458381	0.732227095971483	1.42770778319227e-10	0.512557923000278	5.37682313949642e-05	-0.715666725659106	5.68789972211905e-10	-0.0984017937163421	0.470591444708206	-0.546058282273647	1.34245149010311e-05	0.530763931933244	2.57604079150228e-05	0.502384467573417	7.96761358367041e-05	-0.0464306661271708	0.734005644574714	-0.453521503072089	0.000447591236918938	0.740266791273846	7.03119203687857e-11	0.238605706539844	0.0765662717478653	-0.147357186637037	0.278462943228184	0.429383267739735	0.000958942598019875	-0.541375314180199	1.64450769460388e-05	0.64066526746602	1.04856577850756e-07	0.442667633652992	0.000634880986767107
Bcells_TRIM36	-0.335335406052055	0.0115225079422108	-0.303331064966555	0.0230528233692945	-0.195787253113828	0.148140726349663	0.0045634353675295	0.973371913437633	-0.658112422760726	3.54996788120674e-08	-0.13602929763477	0.317481340688171	0.699414142863428	2.01587702705508e-09	-0.0609942635767297	0.655192240389528	0.364788614938684	0.00570603923240662	-0.249954199281437	0.0631818465184774	-0.129003035075385	0.343351350093647	0.278014625229672	0.038019794075994	0.198529594464264	0.142431543274408	-0.610629362810931	5.81338835152856e-07	-0.129824668480209	0.340260408084515	0.268874520603677	0.0450960673189062	-0.0352730900232851	0.796340169527605	0.44589220891208	0.000572946768787348	-0.613094441193752	5.08495782994225e-07	0.0252616256145409	0.85338086378577
Bcells_SNX24	0.306814420586533	0.0214492015452497	0.463033068740128	0.000326322791637362	0.327270163712086	0.0138147688328753	0.137838458758985	0.311026808851114	0.697505241785416	2.32607434172689e-09	0.234619101869179	0.0817687092053001	-0.678720366234621	8.98753254195549e-09	-0.211709273465177	0.117262517781087	-0.27837444683273	0.0377611757706768	0.269405242601259	0.0446576052815771	0.325551737872923	0.0143507798273776	-0.155236925697006	0.25327636431798	-0.136088911858965	0.317267305461265	0.627054559853594	2.33047634381143e-07	0.139429237744123	0.305421424280088	-0.143593702707996	0.291057596071733	0.169963778953311	0.210445668456317	-0.38406159814595	0.00347562724596283	0.650360889577241	5.79331713349636e-08	0.125170618436762	0.357997908542053
Bcells_PARVG	0.658412962047656	3.48220028480524e-08	0.328490548841324	0.0134446210668719	0.44662137893137	0.000559722801166631	0.431662824396805	0.000894483323080658	0.563215894156457	6.21441325278579e-06	0.468675141059093	0.000269362326474955	-0.358795611146582	0.00661788708353122	-0.375991133737062	0.00429283662962583	-0.21724161326663	0.107770927693878	0.630410769084986	1.9207622519685e-07	0.559648855078256	7.31943944713229e-06	0.128535168027161	0.345119205718629	-0.315105357479592	0.0180078963664267	0.466005123869425	0.000295081197660359	0.331287182459186	0.0126283752746368	-0.131591880511265	0.333671192456258	0.396501546982632	0.00248399832946651	-0.115031999640093	0.398550469368377	0.536050250163691	2.06381781844472e-05	0.508887384937886	6.20548560282676e-05
