id	S01	p.value_S01	S02	p.value_S02	S03	p.value_S03	S04	p.value_S04	S05	p.value_S05	S06	p.value_S06
B_SIGLEC10	-0.361498415	0.006191985	0.484472339	0.000154618	0.385515658	0.003344005	0.337929366	0.010858688	-0.102970472	0.450133983	-0.076606437	0.574684367
B_RIMS3	-0.24811466	0.065213729	0.604261631	8.17E-07	0.039171119	0.774396822	-0.212826024	0.115296935	0.470984109	0.000248786	-0.179468398	0.185668301
B_CFD	-0.262060795	0.051045198	0.677052932	1.01E-08	-0.042535598	0.755596163	-0.177363034	0.190967049	0.402915371	0.002078461	-0.113662197	0.404228122
B_TP53I3	-0.238529945	0.076662633	0.592135225	1.53E-06	0.07057365	0.605254921	-0.102811434	0.450837786	0.595797218	1.27E-06	-0.313859896	0.018492705
B_MUC1	-0.126815655	0.351664801	0.546739729	1.30E-05	-0.005762753	0.966377387	-0.145946963	0.283139405	0.465104287	0.00030425	-0.366975498	0.005401845
B_AIF1	-0.307691157	0.02106079	0.541371447	1.64E-05	0.405114546	0.00195366	0.145067181	0.286082904	0.060032286	0.660295721	-0.14200495	0.296484441
B_PRKCH	-0.500556828	8.54E-05	0.732286564	1.42E-10	0.447786217	0.00053917	0.038448517	0.778451952	0.091749749	0.5012481	-0.03258487	0.811565917
B_TRIM36	0.438764921	0.000717898	-0.66355716	2.50E-08	0.035367498	0.795806784	0.169173775	0.212605011	-0.533604842	2.29E-05	0.02379127	0.861828831
B_SNX24	-0.351772662	0.007846296	0.654335831	4.51E-08	0.133378873	0.327090171	-0.036210865	0.791046092	0.43189102	0.000888251	-0.274513706	0.040613284
B_PARVG	-0.208361492	0.123308214	0.550233061	1.12E-05	0.347456571	0.008695927	0.231694153	0.085759953	-0.197653454	0.144237409	-0.049348428	0.717964217
B_ITLN1	-0.422051922	0.001195571	0.661328682	2.89E-08	-0.072160579	0.597144865	-0.1925423	0.155113697	0.55478877	9.12E-06	-0.08438822	0.53633476
B_FKBP5	-0.325436126	0.014387473	0.421602052	0.001211667	0.284123458	0.033822563	0.283346856	0.034333778	-0.02813504	0.836919505	-0.091880101	0.500637648
B_PARM1	-0.479724343	0.000183211	0.714797582	6.10E-10	-0.074847266	0.583525204	-0.239396531	0.075566141	0.570668303	4.39E-06	-0.011062351	0.935506873
B_EMB	-0.321573736	0.0156604	0.499916606	8.75E-05	0.084879498	0.533956375	0.00454029	0.973506919	0.398856819	0.002327561	-0.152824176	0.2608188
B_LINC00261	-0.400110092	0.002247946	0.655203511	4.27E-08	-0.083000573	0.543080518	-0.250229286	0.062882416	0.639513799	1.12E-07	-0.170969263	0.207719719
B_FRMD3	-0.404579639	0.001983384	0.676307693	1.06E-08	-0.082932271	0.543413612	-0.247388604	0.066029978	0.629515116	2.02E-07	-0.119912334	0.37870495
B_FFAR4	-0.300737587	0.024311476	0.62583419	2.50E-07	-0.114167756	0.402127192	-0.114134428	0.402265496	0.622270995	3.06E-07	-0.24718681	0.066258286
B_LOC643733	-0.231821792	0.085582649	0.502844682	7.83E-05	0.103522352	0.447696409	0.211556919	0.117532646	0.36442439	0.005758135	-0.308833819	0.020563521
B_DENND2A	-0.309839292	0.020134218	0.527503033	2.95E-05	-0.127436852	0.349291356	-0.247292138	0.066139039	0.519817512	4.03E-05	-0.063250098	0.64328615
Epithelial_GAMT	0.375046795	0.004398736	-0.383737413	0.00350559	-0.317458916	0.017121248	-0.001968775	0.988510321	-0.003295217	0.980770427	-0.225339049	0.094958462
Epithelial_KCNH8	0.036947657	0.786893187	-0.375307959	0.004369221	0.105989323	0.436889768	0.222724703	0.098958392	-0.222646813	0.099079538	0.101365736	0.457263228
Epithelial_LOC284926	0.034990138	0.797939335	0.34001075	0.010350182	0.1634554	0.228699532	0.158771518	0.242495891	0.157910808	0.245091685	-0.518349341	4.27E-05
Epithelial_FAM201A	0.078124251	0.567106355	-0.228219384	0.090698541	0.014407016	0.916069513	0.037110875	0.785974008	-0.133518414	0.326579748	0.086927498	0.52409769
Epithelial_FAM111B	0.21284706	0.115260152	-0.486398822	0.000144229	-0.236927437	0.078723465	-0.086421609	0.526524483	-0.122059278	0.370165263	0.32261505	0.01530808
Epithelial_LOC283177	-0.021504511	0.874997708	-0.063787737	0.640461487	-0.319523189	0.016374486	-0.202572136	0.134317172	-0.114944266	0.398912707	0.250930034	0.062124803
Epithelial_LOC728613	-0.129259079	0.34238626	-0.161727631	0.233724002	-0.097285892	0.475662883	-0.06608521	0.628448302	-0.086484841	0.526220852	0.340979086	0.010120713
Epithelial_UPP1	0.146192068	0.282322919	-0.005714786	0.966657088	0.402214922	0.002119677	0.176912191	0.192115646	-0.070214365	0.607097694	-0.251822275	0.061170798
Epithelial_KDELR3	0.039955617	0.770001107	0.143891071	0.290049109	0.177954209	0.189468389	-0.030185616	0.825213929	0.445656319	0.000577285	-0.478050329	0.000194392
Epithelial_FGFBP1	0.106183759	0.436044288	0.101144975	0.458248783	-0.206208535	0.127319341	-0.111911983	0.411550543	0.438018262	0.000734854	-0.248587476	0.064686541
Epithelial_GNG4	0.298762808	0.025308248	-0.375894452	0.004303574	-0.060471959	0.657961244	-0.022946578	0.866689055	-0.385043797	0.003386226	0.353950887	0.007445639
Epithelial_CEACAM8	0.41497057	0.001472596	-0.55261587	1.01E-05	-0.172423582	0.203821126	0.032255295	0.813437489	-0.102803146	0.450874481	-0.061207005	0.654065705
Epithelial_CYP2B6	0.138399466	0.309042521	-0.36166683	0.006166259	-0.217958623	0.106585371	-0.044729373	0.743411968	-0.275202039	0.040092168	0.39069369	0.002910386
Epithelial_IRF7	0.043129413	0.752292146	0.133140097	0.327964743	0.328268629	0.01351129	0.526791511	3.04E-05	0.016611013	0.903286986	-0.393295095	0.002711974
Epithelial_NEU1	0.376314567	0.004257086	-0.619613982	3.55E-07	-0.17474899	0.197695442	0.083802944	0.539174953	-0.139518707	0.305108112	0.137947891	0.310639107
Epithelial_TSPAN6	0.053278888	0.696545869	-0.247686257	0.065694366	-0.331268874	0.012633577	-0.10228418	0.453175404	-0.052218249	0.702303333	0.438778482	0.000717593
Epithelial_AZGP1	0.479644744	0.000183729	-0.698874356	2.10E-09	0.011118227	0.935181813	0.125052152	0.358456661	-0.264389329	0.048944184	0.056115006	0.681234578
Epithelial_SLC19A2	0.110818777	0.416162767	-0.465004802	0.000305279	0.093922689	0.49112224	0.006700106	0.960912387	-0.29350721	0.028129792	0.321982553	0.015521262
Epithelial_GRB7	0.352515788	0.007707547	-0.551928204	1.04E-05	-0.28501561	0.033243109	0.012281654	0.928416023	-0.153388253	0.259042075	0.106050479	0.43662374
Epithelial_GALNT10	-0.031948647	0.815179794	0.283732007	0.034079448	0.305254918	0.022155076	0.036092054	0.791716313	0.245538801	0.068146577	-0.328342854	0.01348896
Epithelial_LYPLA1	0.178868741	0.187166625	-0.490687077	0.000123356	-0.129512084	0.341434285	-0.053839239	0.693510938	-0.235305824	0.080853211	0.375155103	0.004386474
Epithelial_C9orf3	-0.198529506	0.142431725	0.256570883	0.056290033	0.474309089	0.000221665	0.095921003	0.481905287	-0.070918703	0.603487438	0.03700936	0.786545667
Epithelial_PRMT3	0.25520123	0.057664308	-0.64380076	8.67E-08	-0.126074755	0.354508554	0.017388752	0.898781973	-0.353297185	0.007563963	0.406400712	0.001883811
Epithelial_MTCL1	-0.019664991	0.885615696	0.10263907	0.451601244	0.366771853	0.005429558	0.265367937	0.048082509	-0.031213163	0.819362252	-0.137141124	0.313504648
Epithelial_KAZN	-0.213890527	0.11344685	0.366189722	0.005509467	0.100539409	0.460958186	-0.214991138	0.111557994	0.16146954	0.234481025	0.031266227	0.819060327
Epithelial_MUC1	-0.166841843	0.219069504	0.51923244	4.13E-05	-0.153605455	0.258360114	-0.106560821	0.434407304	0.588297204	1.86E-06	-0.315808594	0.017738965
Epithelial_GPR161	-0.374614532	0.004447973	0.527665069	2.93E-05	0.347545217	0.008677704	-0.010637196	0.937980557	0.104535198	0.443241844	-0.087481324	0.521447344
Epithelial_MUC5AC	0.190638249	0.159316399	-0.060507534	0.6577725	0.080626331	0.554716788	-0.109490808	0.421805142	0.239108814	0.075928802	-0.173725991	0.200373937
Epithelial_TOX3	-0.390051928	0.002961271	-0.079814878	0.558720737	-0.234999143	0.081261057	-0.131607728	0.333612469	0.082066989	0.547641931	0.514637227	4.95E-05
Epithelial_MST4	0.148848642	0.273573002	-0.416496684	0.001408454	-0.021092016	0.877376858	0.196206908	0.147256221	-0.3861037	0.00329204	0.345194114	0.009172404
Epithelial_PARP12	-0.004191466	0.975541699	0.122277656	0.369303204	0.348462211	0.008491135	0.511307083	5.65E-05	-0.003108661	0.981858908	-0.158516682	0.243262478
Epithelial_MOSPD1	0.015159529	0.911702624	-0.369673954	0.005046168	0.153168229	0.259734131	0.070253189	0.606898452	-0.361375729	0.006210785	0.498661712	9.17E-05
Epithelial_ASRGL1	-0.032082022	0.814421876	0.240979199	0.073595727	-0.063968192	0.639514536	-0.083061135	0.542785254	0.573432952	3.85E-06	-0.279601152	0.036890401
Epithelial_USP18	0.082416466	0.54593226	-0.092365188	0.498369303	0.170610308	0.208690003	0.654282239	4.53E-08	-0.072773073	0.594027594	-0.237505745	0.077974766
Epithelial_RNF128	0.079582512	0.559869811	-0.448775414	0.000522255	-0.196841172	0.145926842	-0.214031088	0.113204265	-0.013416638	0.921820479	0.339644817	0.010438062
Epithelial_PXMP4	0.409102442	0.001744296	-0.668799917	1.76E-08	-0.223772108	0.097340463	0.076306199	0.576188865	-0.434082569	0.000830354	0.367601705	0.005317403
Epithelial_CEP72	0.348438304	0.008495954	-0.669966248	1.63E-08	0.13177409	0.332996388	0.240881646	0.073715987	-0.531254495	2.52E-05	0.237344995	0.078182311
Epithelial_RNF39	0.356103958	0.00706725	-0.406411693	0.001883224	-0.109393856	0.422218778	-0.132961399	0.328620234	-0.118004084	0.386393255	0.058088797	0.670653095
Epithelial_FAM122B	-0.05040454	0.712187108	-0.303720598	0.022868614	-0.123929613	0.362821411	0.15980343	0.239408621	-0.290052268	0.030124545	0.397802565	0.002396467
Epithelial_ANKH	-0.029838933	0.827190371	-0.210999193	0.118525556	-0.003648304	0.978710404	-0.211398532	0.117813972	-0.127845882	0.347733959	0.493287736	0.000112085
Epithelial_FKBP5	-0.262258136	0.05086434	0.461267227	0.00034628	0.17651865	0.193122285	-0.005643777	0.967071165	0.145316589	0.285246423	-0.03442986	0.801108305
Epithelial_ELOVL7	-0.242319281	0.07195945	0.229841233	0.088366485	-0.240874231	0.073725134	-0.079285458	0.56134039	0.183512777	0.175787502	0.266353602	0.047227182
Epithelial_S100A16	0.38458115	0.00342808	0.026019988	0.849029989	0.135825692	0.318213047	0.060810812	0.656164289	0.351132819	0.007967497	-0.551618492	1.05E-05
Epithelial_EPB41L5	0.248814013	0.064435167	-0.55903223	7.53E-06	-0.168965294	0.21317744	0.025419379	0.85247544	-0.264451108	0.048889417	0.408375727	0.001780884
Epithelial_PDZD8	-0.179207492	0.186319147	-0.032726053	0.810764498	-0.281599544	0.035507471	-0.059129955	0.665096767	0.024453389	0.85802265	0.277508381	0.038386129
Epithelial_PARD6B	0.14051016	0.301650007	-0.481590528	0.000171442	-0.074211287	0.586736448	0.059628943	0.662440127	-0.17836033	0.188443743	0.304854866	0.022339283
Epithelial_SLC19A3	-0.011329467	0.933953016	-0.109315008	0.422555348	-0.281957894	0.035264088	-0.014529691	0.915357448	-0.174047227	0.199530094	0.444448869	0.000599959
Epithelial_CELSR3	0.360533889	0.006341137	-0.680479201	7.95E-09	-0.184959094	0.172348247	0.083030889	0.542932706	-0.383083569	0.003566717	0.294015004	0.027846154
Myeloids_CLEC12A	-0.270054606	0.044125887	0.434903721	0.000809552	0.567889589	5.00E-06	0.178507187	0.188074201	-0.170234406	0.209709515	-0.201067751	0.137295244
Myeloids_WARS	0.343858204	0.00946425	-0.029423786	0.829558523	0.130211794	0.338810089	0.514661206	4.95E-05	-0.129106236	0.342962159	-0.396555796	0.002480293
Myeloids_CKAP4	-0.153092232	0.25997346	0.254732498	0.058140799	0.260843473	0.05217245	0.01511971	0.911933635	0.360106276	0.006408262	-0.147585518	0.277710603
Myeloids_LGALS1	-0.088052347	0.518721732	0.322277481	0.015421543	0.641716866	9.84E-08	0.279267015	0.037125924	-0.276680494	0.038991496	-0.020296062	0.881970714
