id	t	df	p.value	Mean non	Mean response	Var non	Var response
NEXN	-1.96158061571188	23.4390280488477	0.0617944485168008	721.6204	866.9532	54092.04	62549.42
CLEC12A	-2.26982425574427	21.9331019471931	0.0333979315045165	240.7407	288.7533	3868.134	5296.275
SIGLEC10	1.61931741029014	50.6740572047799	0.111586750917541	843.2611	839.0642	173.08565	 37.43492
PTPRM	-1.11350791471766	20.7991377624941	0.278193778559659	561.6638	692.6726	106169.6	168794.8
LINC00528	0.480645162471435	19.9128372077826	0.636007165441643	118.5966	118.3107	2.426925	4.416841
TRIM69	-0.720237523386575	19.4009319576889	0.479967112475096	2526.064	2692.323	339765.6	674988.5
WARS	-2.30968928958929	22.3029425439748	0.0305339838163432	7537.739	9883.503	 9232499	12094485
LAMC1	1.18996784168112	20.3856529938216	0.247733502357238	2374.418	2373.349	5.896458	9.961376
CKAP4	-3.41611041261896	28.3356200498882	0.00193850367577116	10028.46	11497.05	2452649	1874904
STOM	1.08025472134838	19.5444410022652	0.293179426822185	1388.806	1384.539	101.6421	196.8641
LGALS1	-3.24701464680565	27.8238375595095	0.00303718534103727	26589.22	28954.09	6865697	5444924
EMP1	-2.86093032348329	32.2181689584645	0.00735873511280665	7677.658	8717.715	2061291	1228267
COL6A3	-3.46664446832337	31.4098547428265	0.00154886349085901	22658.08	27966.70	35487000	22192117
PRCP	-2.51633638550331	22.8834461747431	0.0193266228321891	548.4843	932.7068	219592.9	269380.4
PPP4R1	-2.26455010047326	28.5815327238181	0.0313072694223327	1075.834	1272.884	101659.21	 76381.75
TNC	-2.14543494377219	28.1082250403735	0.0406989516604525	3875.746	4848.637	2699163	2097033
SGK1	-1.94823239284771	21.7846036512843	0.0643854255665893	7317.087	8257.146	1983874	2766562
CD14	-2.54272061716197	26.265517575733	0.0172265464126626	4782.358	5401.058	704985.0	630161.6
SH3BP5	-2.22530946507805	28.8926586926484	0.0340283714239731	2504.615	2807.724	252717.7	185839.2
CTSL	-4.17522560718064	29.8852084444031	0.000236809393234799	5613.966	6373.294	470675.8	323925.7
ARL4C	-3.51890682387372	30.8443100315471	0.00136852441278171	840.2804	895.2037	3606.080	2334.862
COL1A2	1.39784403168445	22.5133681605611	0.175782197370278	19336.42	18897.15	 900810.1	1151716.7
PCOLCE	-2.39987787721976	26.0642448043594	0.0238374391127904	4455.833	4990.135	583366.1	530085.1
LTBP1	0.995696229031417	25.548929315326	0.328735179154273	1204.434	1181.891	5848.406	5548.873
GBP2	0.989827284548322	31.9813304088053	0.329688742100583	2509.239	2470.463	23728.53	14338.42
C1QB	-1.46380106547979	21.5427385107163	0.157688298999383	3857.023	4507.270	1641047	2359566
THBS2	-2.20860029605403	28.4320579687076	0.0354264756353518	3164.015	4314.356	3616717	2746022
UPP1	2.23383288589173	23.3381582233759	0.0353559675628713	824.1175	819.0770	49.77505	58.16348
PLEK	-2.97732844544132	27.466967858817	0.00601033184008602	2060.473	2487.280	261212.5	212683.2
LOXL1	0.01197518378681	27.5225954427541	0.990531799018457	642.8913	642.6825	3877.356	3143.952
IFIT5	1.11859664510418	30.9426538612662	0.2719214192207	1898.942	1882.392	3253.006	2093.433
HMOX1	-2.11346904230285	22.4137194607705	0.0459147606865269	3117.243	3496.281	290799.0	376072.9
IGFBP6	-2.4679291358649	22.7627165785353	0.0215440518994737	1711.523	2023.081	148574.5	184702.1
CYBB	-2.70074035079694	28.3318839002159	0.0115474091008867	1642.634	2260.698	694901.4	531351.2
KDELR3	-0.843615198560175	20.8487673732212	0.408459890148847	3026.518	3052.689	 7423.583	11719.669
CCL4	-1.70264628562084	21.8256316024718	0.102835685993079	3109.356	3554.599	585033.9	811697.2
TYROBP	-2.38731704314032	22.8144413467448	0.0256530585662655	2980.780	3378.884	260388.8	321857.9
COL7A1	-3.07252731553843	30.8515111045018	0.00440977306638705	1560.224	1840.433	123150.32	 79701.59
GCH1	2.02709734200631	27.5811517728465	0.0524173317334745	1847.729	1746.922	31619.19	25527.26
FCER1G	-2.98271554352209	24.8927695709661	0.00631161599214541	3228.983	3702.844	276156.0	277557.7
ISG20	-2.7078692322571	23.6340203581803	0.0123787483777474	4008.067	4498.708	328439.6	372290.8
EML1	-2.26728391326731	26.4456902554451	0.0317697129038763	228.6700	342.4534	30298.53	26693.00
NAV3	-1.38581379121646	26.9024767449539	0.177185280127146	222.0222	237.0551	1451.840	1233.922
IL10RA	-2.27866099868844	23.8719676315096	0.0319277708947306	1470.314	1553.431	13552.2	14999.9
VAMP5	-1.4007914576634	22.474784120018	0.174932888056487	847.7397	875.3051	3520.295	4520.723
MX2	-1.63395676850648	23.0428125027896	0.115858115805392	1659.863	1840.423	116553.8	140527.1
TFF1	-2.68018533847524	35.0401406092787	0.0111372362692248	24823.03	30579.45	79129025	40244081
CCR1	-2.16254640449526	21.9735461529443	0.041730245226965	1624.296	1910.104	151594.3	206542.7
PTGS1	-0.522980061959083	19.6600111489428	0.60683265255203	1286.843	1292.889	 885.2634	1680.7142
PDGFRL	-3.38620228900247	26.4610954564579	0.00222607504746549	472.6649	599.9198	17005.01	14962.99
KCNJ8	-2.23715682529704	21.9972675466734	0.035732377681415	516.2166	571.5696	5325.272	7234.652
ISG15	-1.83481658514732	21.2225121742444	0.0805903058533356	5499.418	6513.825	2457858	3685683
MEOX1	-0.967808928645416	23.5486507754105	0.342975301730528	133.9396	145.0470	1309.092	1496.818
OASL	-2.55090877160784	22.9092912687725	0.0178934123669411	538.0407	667.8885	24457.64	29918.17
FMO1	-1.74965813473425	23.7780263712479	0.0930744082395781	325.2149	370.9618	6914.290	7724.725
ITGAM	-2.86854196438304	26.915249623872	0.00792381417622219	689.5150	861.8053	44539.37	37816.71
TFEC	-2.64155982479974	24.8662970475061	0.014060200413171	227.1571	262.3981	1943.966	1958.512
PTGFR	-2.42998527098399	25.6434308655907	0.0224145729085818	365.1592	421.6469	6201.659	5836.844
ID3	-0.61533534803498	23.6010448567449	0.54422176956401	6309.533	6504.731	1004173	1142059
JAG1	-2.40942724828363	33.1441408664813	0.0216904111441972	3075.209	3466.702	425524.9	240335.4
TUBB6	-2.4227468479448	27.9529923420168	0.0221351221388895	3402.477	3736.081	246984.4	194044.6
IFI35	2.28042204168631	20.0556677254745	0.0336524936330985	557.4522	516.9907	2202.282	3916.497
RGL1	2.88138059628383	25.1693444007091	0.00798248904491601	503.9320	371.0335	23699.84	23239.59
C3AR1	0.985571265743292	26.3169098545361	0.333318638055821	1488.610	1472.403	3229.139	2874.449
CREM	-1.50417120459628	22.7694658816621	0.14628286492658	1654.558	1721.401	18420.13	22882.06
TP53I3	-1.14605739329966	28.3389559808104	0.261357017631101	1780.377	1828.191	23102.79	17656.54
CD86	-2.06509413379783	21.788620182159	0.0510142580400335	1128.084	1231.404	21337.51	29740.81
CLEC11A	-2.7418816714213	28.3067034503792	0.0104715429297098	 980.1663	1087.2489	20213.35	15483.57
BLVRA	-2.95923178021224	26.0942606187869	0.00648174768835627	2236.519	2434.600	52824.49	47881.67
IGFBP5	-2.07905031958594	32.7340292359546	0.0455260667690144	6785.216	7637.625	2670833	1544356
PXDN	-2.23140960951197	24.9934181120965	0.0348593398493613	3655.350	4176.777	601424.0	599033.6
COL5A1	-1.87442067810492	22.8187537022021	0.0737317964452941	1860.994	1917.812	 8606.707	10633.405
LHFPL2	2.21441454042228	29.6999528924026	0.0346219463878586	2328.744	2319.554	243.1621	169.3868
GM2A	1.66446018767332	19.2565357773677	0.112208390923502	4880.452	4758.265	33606.82	68539.11
C9orf3	-3.10058165352502	26.585081242486	0.00453233962386249	 722.0494	1165.8077	248358.7	216391.2
APOE	-2.08100312545304	25.0363715928168	0.0478169841685123	2431.671	2587.068	61589.67	61109.94
AHNAK2	-2.5215287172067	27.1035493851191	0.017866932215046	1024.199	1335.810	190469.9	159396.7
ANGPTL2	-2.79800098516375	27.7829789378574	0.00923510409860382	2205.208	2634.283	303754.4	241616.1
MTCL1	-1.32347362220228	22.3615032160594	0.199050657242144	493.4504	521.3544	4000.123	5204.487
COL6A1	1.23734646419984	21.4054028629107	0.22936083198707	3694.716	3645.297	13078.60	19142.73
LPPR4	-2.30266296887039	25.4261523890898	0.0297498757330658	159.0591	188.0000	1788.695	1715.087
ERG	-1.88546035877768	22.0203123986717	0.0726306459122404	160.6535	166.6973	 89.57826	121.35741
CCL8	-3.29285080064786	34.030556457871	0.00231881420009127	 915.2533	1296.2326	222302.0	119463.6
HLX	-2.76707899887955	25.3991246550391	0.0104019725180508	782.0962	859.7759	8908.632	8562.011
FCGR1B	-2.89520207999273	24.746804687032	0.00780299587925287	733.8533	860.0605	20590.07	20970.75
CD163	-2.42685064252403	22.8801874204516	0.0235191953135446	2862.747	3737.627	1223719	1501704
AIF1	-2.12651242301642	23.6350439923247	0.0441073211527149	4406.665	4495.539	17475.70	19806.89
FCGR1A	0.798855820576642	29.7859704896545	0.43069821324341	22.90385	22.76388	0.4350785	0.3013719
RAB31	-3.15858632368268	28.3650063554875	0.00374578229082395	4588.955	5621.528	1420253	1083446
PARP12	0.605338290171139	21.901878940502	0.551175816376463	1285.700	1282.525	237.1728	325.9829
MAFB	0.707554688795725	22.7081388036881	0.486420836535261	1547.763	1543.587	323.2235	404.2671
PRKCH	-0.0775216396352872	28.7381385323208	0.938745806112387	548.9432	550.2854	4054.166	3013.160
ASRGL1	-1.25915702948121	22.4927197977186	0.220884698178562	945.2316	968.5676	3127.402	4007.935
SOBP	-2.7699191260426	28.3741337912272	0.00977915672039015	673.8602	790.8292	23708.61	18074.57
ADAP2	2.87202900625783	23.5488881324683	0.00848982213774806	557.8130	345.0488	54545.16	62365.51
SLAMF8	-2.55350203002805	25.6310540465203	0.0169719608712275	1009.029	1138.971	29696.29	27978.79
HPSE	-1.40797478298083	26.8106309209694	0.170628803171596	632.3799	657.7395	3982.637	3409.088
TMEM45A	-2.23793923825581	23.7509799069796	0.0348731621561822	1360.497	1629.039	145336.1	162811.0
AGPAT4	-2.18308755838515	30.1264098126357	0.03695349704122	352.0606	371.5966	1151.2389	 780.0308
HERC5	-0.903827639641063	23.7357235851377	0.375169063072068	536.9310	557.4231	5182.608	5814.639
VCAN	-2.45973691232405	24.4086300376661	0.0213549924786761	 9577.431	11485.250	6369123	6693603
PILRA	-2.36206140633969	21.0800452655092	0.0278681922652662	575.4105	610.5052	1747.718	2671.840
TRPS1	0.51304025682348	24.5277594282167	0.61251327502497	377.0371	376.3316	20.18930	20.98243
PARP9	-0.102311670989956	25.6989855022134	0.919303445847738	2634.649	2634.686	1.461500	1.369069
MS4A7	-2.15482804075584	23.7235295531014	0.0415471909371694	2303.565	2622.370	220479.5	247670.4
TNFSF13B	-2.74019816323661	24.1160417156791	0.0113741629700082	2098.496	2493.389	215352.0	232731.8
PARVG	2.26744061796524	27.956266977419	0.0312884553956959	637.9027	574.9030	10057.71	 7900.02
ANTXR2	-1.35834360474836	29.4773927765549	0.184660388263346	3992.334	4213.696	371338.9	262505.8
STAT2	1.31542808843879	21.739545916393	0.202071612786795	1268.042	1199.541	23004.18	32260.93
RNF213	-1.7750139699893	25.0710396585638	0.0880393513180488	2876.400	3039.708	93705.64	92689.20
ADAMTS2	-2.75538390534254	26.8744418541692	0.0103939633463226	1750.106	2297.956	487016.4	414816.8
FUT11	-0.354422227648288	22.8537902936693	0.726271898346671	1209.575	1213.516	1161.318	1429.261
PIK3AP1	-2.81238554949455	29.5634674138558	0.00864978123705293	2863.518	3259.288	277940.6	195363.1
BCAT1	-2.61995065268372	29.2756873842094	0.0137963409297888	 850.7416	1167.9727	203182.3	145580.9
CD109	-2.87032097746362	27.4871132433197	0.0077994994877981	 917.6245	1199.0123	122287.93	 99419.27
SAMD9L	-1.93160929285365	23.0021744000208	0.0658193479335048	1518.743	1742.897	128102.9	155130.3
ZNF521	-1.97730423486834	22.5924654471211	0.0603344687927083	107.8072	109.6576	 8.044647	10.193354
PRRX1	-2.383604533224	26.0978914109782	0.0247044926949777	1891.368	2429.976	602113.1	545610.6
FAM20C	-2.67006934007003	25.0342432735583	0.0131272789824476	1244.482	1389.477	32566.45	32318.92
MBOAT2	0.0933273826716409	24.4966517461708	0.92640259974964	836.2580	836.1729	8.864182	9.239180
FAM20A	-3.71039645852554	33.1212819422445	0.000756402475714286	213.0124	241.3584	939.9490	531.5722
LATS2	1.70156690153887	19.7049684868428	0.104563266962375	914.6196	862.3450	 6292.263	11855.038
ASPHD2	-2.07079787604189	28.3932379463224	0.0475784247138732	273.9267	317.6269	5926.320	4511.924
ZBTB46	-1.35136792149604	27.1821096816841	0.187718282812746	324.8223	346.2536	3149.826	2620.234
CD274	-2.52820984584026	27.9381183166991	0.0173988818278442	725.2232	844.2944	28873.02	22708.69
GPX8	-4.23501565133849	38.8986921855244	0.00013526017519404	1636.061	1950.494	105703.5	 44014.9
PIK3R5	-2.19183220525606	22.5202141317016	0.0390065352291611	617.5208	662.3253	3813.993	4872.516
FAM65C	-2.3324103623363	26.5385998597811	0.0275216591737316	664.2429	709.6675	4586.872	4011.229
MRGPRF	-2.42695085365617	23.8973086890808	0.0231384522529163	1296.901	1479.931	58039.29	64078.54
CPXM1	-1.86582298831348	22.9546236815468	0.0748967384763722	683.1625	769.8203	20439.01	24879.16
S100A16	-1.56845789920592	22.8075038552609	0.130545098348377	5754.054	5897.092	77831.55	96278.69
PAPPA	1.05135010047346	25.2381073639939	0.303060794481347	141.3439	138.1787	101.42008	 98.85095
DDX60L	-2.19425816478794	22.2629902566024	0.0389366636099179	1647.540	1978.233	202554.0	266589.1
ALPK2	1.60416955876153	28.8744050858003	0.119560491940571	105.3741	105.1938	0.1718376	0.1265212
ARL10	-0.484105177895437	19.500194661514	0.633703564041627	217.6006	218.8262	41.47847	80.96242
CMKLR1	1.06233947682357	20.0817301757127	0.300690739937844	689.0492	677.0655	 893.2468	1581.9462
TWIST2	-2.25706499003243	23.9178453878097	0.0334155792894051	416.1420	485.0812	 9534.697	10505.521
IFIT3	-2.12562458455166	22.3234122738165	0.0448315048151433	2855.561	3404.980	599104.7	782947.5
MS4A14	-2.52761241843779	22.7816446792616	0.0188865780004155	409.6771	471.7315	5628.071	6981.935
GBP5	-2.3338663269007	25.1633646700887	0.0278826416219004	812.6574	895.8931	14164.68	13896.93
FPR3	-2.04586402543106	25.009777753358	0.0514218187928713	1360.156	1490.161	44523.01	44281.21
SH3PXD2B	-0.71992312219144	27.5080545465576	0.477645213232556	1491.859	1513.973	12019.124	 9756.244
MASP1	-1.41476667999118	21.5696991515478	0.171411659119193	485.6806	542.0401	13233.93	18962.64
KIF26A	-1.513896686981	22.5999359486533	0.14391284441983	312.2858	372.1472	14371.54	18194.77
TNFSF8	-3.13761534168766	31.5880762275858	0.00367447446313836	413.3128	451.3211	2235.791	1383.176
AF070581	-2.04042411333615	22.7007311571078	0.0531067044395606	93.10205	99.24944	 84.16928	105.36065
