source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
Epithelialcells	Epithelialcells	GDF15	TGFBR2	0.00233572958236943	0	GDF15_TGFBR2	GDF15 - TGFBR2	GDF	Secreted Signaling	KEGG: hsa04350
Epithelialcells	Stromalcells	GDF15	TGFBR2	0.00805953302512898	0	GDF15_TGFBR2	GDF15 - TGFBR2	GDF	Secreted Signaling	KEGG: hsa04350
Stromalcells	Epithelialcells	WNT5A	FZD5	0.000119864167336208	0	WNT5A_FZD5	WNT5A - FZD5	ncWNT	Secreted Signaling	KEGG: hsa04310
Stromalcells	Stromalcells	WNT5A	MCAM	0.000527462843412331	0	WNT5A_MCAM	WNT5A - MCAM	ncWNT	Secreted Signaling	PMID: 24335906
Stromalcells	Stromalcells	FGF7	FGFR1	0.000932574296163603	0	FGF7_FGFR1	FGF7 - FGFR1	FGF	Secreted Signaling	PMC: 4393358
Epithelialcells	Stromalcells	PDGFA	PDGFRA	0.000141510408903898	0	PDGFA_PDGFRA	PDGFA - PDGFRA	PDGF	Secreted Signaling	PMID: 15207812
Epithelialcells	Stromalcells	PDGFA	PDGFRB	0.000240325456795939	0	PDGFA_PDGFRB	PDGFA - PDGFRB	PDGF	Secreted Signaling	PMID: 15207812
Stromalcells	Stromalcells	PDGFC	PDGFRA	0.000107648207133061	0	PDGFC_PDGFRA	PDGFC - PDGFRA	PDGF	Secreted Signaling	PMID: 15207812
Stromalcells	Epithelialcells	IGF2	IGF2R	4.66775083347779e-05	0	IGF2_IGF2R	IGF2 - IGF2R	IGF	Secreted Signaling	PMID: 14604834
Stromalcells	Epithelialcells	IGF2	ITGA6_ITGB4	0.000402127553441547	0	IGF2_ITGA6_ITGB4	IGF2 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Stromalcells	Bcells	CXCL12	CXCR4	0.00560107823093576	0	CXCL12_CXCR4	CXCL12 - CXCR4	CXCL	Secreted Signaling	KEGG: hsa04060
Stromalcells	Myeloids	CXCL12	CXCR4	0.00142191622813527	0	CXCL12_CXCR4	CXCL12 - CXCR4	CXCL	Secreted Signaling	KEGG: hsa04060
Stromalcells	Tcells	CXCL12	CXCR4	0.00941944272669701	0	CXCL12_CXCR4	CXCL12 - CXCR4	CXCL	Secreted Signaling	KEGG: hsa04060
Bcells	Bcells	MIF	CD74_CXCR4	0.0304963470204883	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Epithelialcells	Bcells	MIF	CD74_CXCR4	0.0864225679031617	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Myeloids	Bcells	MIF	CD74_CXCR4	0.0450270866838002	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Stromalcells	Bcells	MIF	CD74_CXCR4	0.0752386204762223	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Epithelialcells	Myeloids	MIF	CD74_CXCR4	0.0487496254639622	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Stromalcells	Myeloids	MIF	CD74_CXCR4	0.0422156532293126	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Bcells	Tcells	MIF	CD74_CXCR4	0.0280447913143982	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Epithelialcells	Tcells	MIF	CD74_CXCR4	0.0798454498323771	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
