GeneSymbol	GSM3374350_response	GSM3374352_response	GSM3374356_response	GSM3374362_response	GSM3374366_response	GSM3374368_response	GSM3374369_response	GSM3374370_response	GSM3374386_response	GSM3374396_response	GSM3374401_response	GSM3374412_response	GSM3374413_response	GSM3374414_response	GSM3374415_response	GSM3374353_non	GSM3374354_non	GSM3374355_non	GSM3374357_non	GSM3374358_non	GSM3374359_non	GSM3374360_non	GSM3374361_non	GSM3374363_non	GSM3374364_non	GSM3374365_non	GSM3374367_non	GSM3374371_non	GSM3374372_non	GSM3374373_non	GSM3374374_non	GSM3374375_non	GSM3374376_non	GSM3374377_non	GSM3374378_non	GSM3374379_non	GSM3374380_non	GSM3374381_non	GSM3374382_non	GSM3374384_non	GSM3374387_non	GSM3374388_non	GSM3374392_non	GSM3374394_non	GSM3374398_non	GSM3374400_non	GSM3374402_non	GSM3374403_non	GSM3374404_non	GSM3374405_non	GSM3374406_non	GSM3374407_non	GSM3374408_non	GSM3374409_non	GSM3374410_non	GSM3374411_non
NEXN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CLEC12A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAMT	340.136682559016	325.878484320231	325.051763883093	350.2366627041	336.05251069561	320.464174888152	489.111855131168	454.656244715873	288.655366236973	300.825534552518	396.932684007566	349.559915287561	331.234716580299	424.242789700946	322.886292401081	413.707293124023	382.112539307112	303.520569183273	462.932154557294	487.55868437877	481.201508299337	465.426786408021	533.034160005444	484.428732531821	288.166409744768	517.943636694421	413.923995973797	479.914698995967	494.005765338743	529.858106704549	470.244580523331	505.411134875882	518.954585519742	557.039505892415	536.878770416932	483.751985115283	474.328752386737	293.835866822042	328.886676747204	306.913325333941	328.740084729573	299.548840495924	356.311619770977	457.078362228802	290.047200704503	310.052188481747	388.932067451769	353.366614551049	460.070554147952	347.009438471616	345.722629168245	310.211455348707	359.324739018817	459.243833710815	463.078746574926	444.244258309469
KCNH8	17.6831867707805	20.4366679826609	19.7050169493456	22.6653301112831	20.0179391350362	30.8781824958398	18.7589468766355	14.2727052717946	18.3789034652991	15.1066980001076	24.493545776337	20.0400286927053	20.7449143913108	24.8449428575667	12.7438596343564	18.215034609263	26.3799554203032	16.9143572236261	18.9824874600967	19.4456668834487	20.1025392378273	30.7399798179023	25.5211770267982	20.389622351744	34.5105025145459	20.9274982425289	25.0444580244395	19.9367754808713	18.2551137163997	29.1734259033261	27.6226146398377	15.9654763936126	30.8041013784346	29.3969664867873	28.7130387649906	28.6295136359536	23.158338661047	27.3288362503167	20.4637034691492	40.5339750027268	30.9276348864758	28.0976657974711	13.1043503468296	18.2985597383	28.6695927430903	30.4545077193959	17.2081356131471	13.4062910221508	29.5351143330898	21.5479820843949	10.4597234474987	19.8522863397144	19.3477432233913	23.5078478631508	21.1335525400862	12.2508510845925
SIGLEC10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PTPRM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LOC284926	39.0796011364263	39.605658463857	38.8256324986227	39.0525148236439	38.8817991992013	38.8656837108203	39.2432884779739	34.2112172214224	38.6200907605136	38.6217963594658	39.0557520150615	39.511040686791	38.1973305812255	35.9374370238252	30.7942084362674	38.7687610277569	38.8544809918621	39.3505987398002	39.0861845825675	39.3988692000002	37.6839509782501	35.5987089600975	39.5188653732501	38.4490870297449	32.4341126953202	39.4035890706476	33.6483120793958	30.3008321963407	31.5940786664058	39.5218760884123	37.6254255487306	39.3212406647494	34.7722221629197	37.1899204610067	36.7481556598611	34.5371660807378	33.9000685279151	34.6942699761442	34.5067335132317	33.0149363031704	32.0761302696192	38.7602357232522	34.5305826345966	34.8261569372983	31.4366889821954	30.6817890331315	33.8130848814309	34.072777857636	33.4227614232572	38.3621033832607	34.2197425259272	34.3166652089906	34.276613996793	35.2355274056087	34.9620221849613	34.0710722586839
LINC00528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM201A	18.2247756697711	18.1011400014783	17.4695544553586	17.0192697210608	16.849190775888	20.6221947606141	17.9356248152221	20.4702697619224	17.1722863945535	17.2406087309179	17.9334512613503	17.8234594315985	18.0475490528718	18.6011314328386	17.6415509622286	18.939921950164	19.6355947950833	19.1322803814332	21.3166276437307	20.6819539433843	20.1058562426854	20.7986987731177	20.9663875132457	17.605022250155	20.3532104960424	18.0286657681653	18.8841335453043	17.0135803756707	21.2532900618229	21.296712418467	21.3912845129886	17.2621159218053	20.9127965646392	20.9936797060628	16.8840606171643	16.5307279028601	22.2612229263949	21.7694542879055	21.1130462303018	16.6270713783358	20.8008723269895	20.506798473996	16.9833965414648	17.3993225674847	21.5146754203901	20.4144434270155	20.8939132799327	20.334801967126	17.5491959152481	17.7569472488467	17.8167064316169	20.6887069433659	19.1675954929146	17.487962984275	20.2645700792521	18.7065054230834
FAM111B	67.722001627161	60.8726613534176	99.8978960002708	57.4931165778936	54.1201111561491	63.0139800504642	89.8557213172104	108.518759544061	55.9963446926417	77.9199199244569	87.7948487079342	81.0378438721832	78.1090076040181	64.3819681701834	106.590569392038	60.8989133090392	70.6011607124007	55.8862535892164	66.4910170962775	64.3334577013258	74.4146750189282	76.4357983643235	68.6260492203557	59.9807643407471	59.2782621754704	71.3243056232065	70.4941536415669	115.071201819136	116.33848374264	114.110089896446	94.3787479322194	93.0564582638453	110.08953239761	110.095814297567	87.5498432888954	111.3375047088	102.735490662161	102.670048014677	108.611692737433	112.108046348131	112.973187464737	85.0903029943427	118.471899902369	96.5578625432932	110.063854070143	103.500199996316	96.5093520744356	98.6669114693873	62.2028535591096	77.8879596970335	61.0805250273334	100.801943593465	81.2866434462445	102.77705508551	93.074807682149	70.5595962890512
