GeneSymbol	GSM3374350_response	GSM3374352_response	GSM3374356_response	GSM3374362_response	GSM3374366_response	GSM3374368_response	GSM3374369_response	GSM3374370_response	GSM3374386_response	GSM3374396_response	GSM3374401_response	GSM3374412_response	GSM3374413_response	GSM3374414_response	GSM3374415_response	GSM3374353_non	GSM3374354_non	GSM3374355_non	GSM3374357_non	GSM3374358_non	GSM3374359_non	GSM3374360_non	GSM3374361_non	GSM3374363_non	GSM3374364_non	GSM3374365_non	GSM3374367_non	GSM3374371_non	GSM3374372_non	GSM3374373_non	GSM3374374_non	GSM3374375_non	GSM3374376_non	GSM3374377_non	GSM3374378_non	GSM3374379_non	GSM3374380_non	GSM3374381_non	GSM3374382_non	GSM3374384_non	GSM3374387_non	GSM3374388_non	GSM3374392_non	GSM3374394_non	GSM3374398_non	GSM3374400_non	GSM3374402_non	GSM3374403_non	GSM3374404_non	GSM3374405_non	GSM3374406_non	GSM3374407_non	GSM3374408_non	GSM3374409_non	GSM3374410_non	GSM3374411_non
NEXN	960.158451624484	1106.15427967241	971.096284993116	729.623353026378	1020.63407445262	946.700355535251	535.169319725169	471.077592695473	1281.84615937718	1005.67901536733	723.512784250949	1111.87152085967	1005.65635503494	487.391835295661	647.726844220013	1036.56898182084	1094.13079973252	1160.46242765186	517.598856403424	1049.1677380571	538.18167718603	529.254288271633	448.957980703935	934.042945740045	626.309597107535	496.850980698539	526.937157262658	548.950332463888	913.29507003516	454.340865161783	527.07061515094	530.25626619863	943.381246599279	479.339245228351	620.124892484214	496.792366927709	791.852724539017	945.698377608254	1088.79271809658	463.961176203474	559.131122110156	1103.44031030574	543.714362287863	716.12056498762	491.58511276119	677.731513217804	589.234926030704	589.212265698323	482.760574619093	951.61340906179	954.625766522651	975.575211446777	943.514704487561	554.652195656495	725.808696047464	965.394421800509
CLEC12A	323.184294524537	314.899240317439	202.255447195289	305.900810118463	323.005855787356	339.853920524539	323.470269231422	191.384289485263	440.185274127235	322.102291604615	202.341990417515	322.519183140438	322.806778945925	198.105419957218	199.283745712704	197.449614266123	323.259775399125	321.880039988326	321.481669259821	321.589186738538	197.6187473103	190.384402466959	191.334949700279	206.335867185118	334.816135138028	187.456099770249	186.661996436675	181.000374288325	193.19527890595	187.218418197016	196.629755454828	210.719450035839	331.236303015256	189.927673617295	199.708984597248	324.609420427386	327.192789763466	197.201855774477	192.82134039466	198.569833401284	211.787500424458	311.562432266813	188.058258645569	327.242426247653	205.103230372319	196.581233429683	196.6887509084	189.998804487301	211.287729514763	209.91569930789	327.155883025427	314.682679421777	333.7512274172	196.979604158188	334.669338632656	204.604692556857
GAMT	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201	157.751857924201
KCNH8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SIGLEC10	844.309488294159	835.549241399014	835.822028820909	842.090158970422	838.604197630766	826.2300272001	839.811566544401	838.524338658301	831.637308028982	839.04455730894	834.585653225772	843.225160389328	840.095837949885	843.878377291931	852.55510711331	869.142148088226	831.154870701151	838.628184882097	848.813645274562	857.835797253751	837.963107915601	852.971479540153	846.22393638003	814.959200982762	851.720191609036	849.476163630227	820.657917636802	854.022760181097	852.531119861979	835.058222672976	833.7608939557	831.989195051594	864.86372494661	854.083871662524	831.285511714692	857.805299523144	850.112676962451	848.997471521468	843.908875022539	836.134992348857	845.94209906717	837.383414289874	845.916117282806	862.746092612614	828.886123213975	833.479353230403	832.652443686662	858.632318364781	856.075386853295	821.895106589697	837.793269377823	842.148464622082	825.756644395139	850.936802715398	822.208070117645	857.152082620541
PTPRM	1020.96577450255	882.492552994677	266.618186845431	382.855338920976	1027.74799827088	883.588970760181	151.952091948373	178.422000321413	1433.14986049892	267.719974396236	1045.81289943225	913.739750144438	1107.45877584712	469.348340265544	358.216042761394	1063.95438196106	814.76129413426	980.88603699664	414.533310283527	1156.50465318227	249.616066195365	518.394217600691	239.515717534297	144.232987597516	320.477989749453	275.477333268662	416.915229799797	266.147016839591	119.40420671544	156.928989335765	268.707485227102	213.691397117727	151.101826319066	517.495061850366	345.715475814521	437.861847349927	245.478535178605	1075.9722829315	733.300119747988	1052.6437458651	983.825911396097	911.65757299451	425.843946379482	265.875128398749	757.514642297016	537.216931067285	498.855590193127	880.079549707948	241.969114126372	958.588425331029	913.587768850238	435.462678274664	792.95012653567	407.702463850677	1055.02566538137	782.343423179092
LOC284926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LINC00528	116.503035408611	116.838267847335	119.386576435413	123.383207629686	119.069438370766	119.601747342648	116.449060231614	118.60805415354	117.281202936336	121.492475508685	117.579369758849	116.965871726646	116.099318661209	119.211043082208	116.192252233112	119.933921656692	117.920350094261	117.164827504463	118.112093081901	117.421635502965	121.202725646592	118.892925365612	119.410957301137	119.209433536309	117.938446997997	119.445611341917	118.558629483515	117.810843118686	121.797326784513	117.635478882189	118.646092014026	119.434328897141	117.784770599756	117.07189393256	117.475610679962	117.423449593693	119.474517461699	116.606794487498	121.31332954584	119.226353479039	120.150709237888	122.162468375675	118.453692426617	119.942728740579	118.045797710379	118.801123428967	117.951989282311	118.242495762912	116.513524863926	116.450874322342	116.97941401096	121.171644420053	120.230150375241	118.096863099414	116.812195328405	115.540949592575
FAM201A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM111B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC283177	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
