ID	S01_MM	S02_MM	S03_MM	S04_MM	S05_MM	S06_MM	S07_MM	S08_MM	S09_MM	S01_Den	S02_Den	S03_Den	S04_Den	S05_Den	S06_Den	S07_Den	S08_Den	S01_PMN	S02_PMN	S03_PMN
GSM3374350_response	0.015414681	0.171440673	0.05048825	0.073695546	0.118093829	0.086764464	0.104207206	0.119552981	0.086849771	0.004645743	0.07348759	0.04658316	0.035230051	0.075993373	0.025066161	0.126135806	0.101109348	0.11226421	0.235390015	0.284430192
GSM3374352_response	0.108411665	0.208923702	0.106959299	0.067821189	0.182725895	0.034773815	0.031041826	0.101227341	0.075066284	0.10169335	0.080974769	0.044882102	0.05357772	0.131412816	0.036819032	0.044119016	0.001453924	0.16983339	0.495468926	0.112290035
GSM3374356_response	0.089888089	0.156989159	0.167234208	0.027653653	0.110056073	0.02442552	0.067313808	0.186659284	0.059852035	0.051464479	0.055324729	0.041465801	0.087097323	0.074811281	0.068566792	0.11587445	0.036697128	0.108941673	0.285838566	0.247279002
GSM3374362_response	7.31E-15	0.058277337	0.34538109	7.31E-15	0.012824132	0.124987581	0.031443859	0.092553124	0.051746361	0.094295655	0.00288326	0.252526076	0.003124429	0.025390809	1.19E-14	0.031392346	0.046270049	0.170819303	1.23E-14	0.248266519
GSM3374366_response	0.156137034	0.012287398	0.221352812	0.000126944	0.157532089	0.197581007	6.38E-15	6.38E-15	0.015981845	0.258014043	0.029197022	0.051825244	0.036939388	0.191452677	0.010374865	0.021917173	0.081320397	0.033147269	0.439175193	0.239979205
GSM3374368_response	0.178499397	7.14E-15	0.251249197	0.012719838	0.082556257	0.057804348	0.036415048	0.051528924	0.029897999	0.205768015	0.029764378	0.107809686	0.000712079	0.117934673	0.032729616	0.041472317	0.0987042	0.001607996	0.167250049	0.371292818
GSM3374369_response	0.147579925	0.136801977	0.174017726	0.128237685	0.043538603	0.036626031	0.124314604	0.010207589	0.077296549	0.174813931	0.073450986	0.038036618	0.034253899	0.038902724	0.028624043	0.054300126	0.022153614	0.323734873	0.138800764	0.282697525
GSM3374370_response	6.52E-15	0.042796227	6.52E-15	6.52E-15	0.011062796	6.52E-15	0.094189874	0.048112714	0.115441801	9.55E-15	9.55E-15	0.025309189	0.032991499	0.011511339	0.01407688	0.070016023	9.55E-15	0.189432788	0.034368101	0.018882689
GSM3374386_response	0.098690808	0.033454491	0.034279268	0.394143691	0.115978862	0.225810101	0.001814687	0.039954625	0.004216984	0.053289407	0.272706353	0.016533319	0.018774091	0.197037474	6.29E-15	0.052870622	0.17616878	0.017891358	0.264738984	0.643885072
GSM3374396_response	0.066571406	0.051276864	0.08011432	1.00E-09	0.13928256	0.023451892	1.04E-14	0.084360827	0.047966451	0.065097883	0.008609399	0.033058933	0.038049866	0.111719209	6.39E-11	0.000215078	0.020038417	0.098124722	0.276353986	0.097564071
GSM3374401_response	0.037820134	0.053030695	1.13E-14	1.13E-14	0.068643381	0.006472503	0.085609486	0.070026433	0.096462821	0.028456575	1.65E-14	0.00012041	0.051165119	0.08698857	1.65E-14	0.039095169	0.027868991	0.072977682	0.207317389	0.008797115
GSM3374412_response	0.130500894	8.92E-15	2.78E-06	0.099907707	0.146713976	0.184278767	0.090397545	0.037467069	0.054902905	0.103596323	0.022005883	0.004933158	0.036153052	0.133386608	0.073205089	0.073680943	0.10272982	0.107493742	0.207663051	0.407376493
GSM3374413_response	0.095839772	8.69E-15	0.046922942	0.056856154	0.113111575	0.238089806	0.03106871	0.034341811	0.062135226	0.039329817	0.042792524	0.006048895	0.02333752	0.120471031	0.016044903	0.027068388	0.152972829	0.106280011	0.260847165	0.33322731
GSM3374414_response	0.034933463	6.50E-15	0.069846752	0.072509297	0.002630701	0.032879676	0.219941811	0.061645833	0.159667114	0.059579574	0.021720783	0.091840245	0.065607938	7.10E-15	0.026225568	0.051636188	0.030554834	0.267551568	0.105448561	0.165711048
GSM3374415_response	0.001048612	0.004371927	0.001969279	0.022282652	0.002354214	0.035568486	0.077392822	0.228229757	0.040366408	1.54E-14	1.54E-14	0.008721705	0.0027657	0.026572921	0.031218448	0.054997154	0.025696592	0.11687325	0.068181912	0.124203916
GSM3374353_non	0.158736067	0.227114572	0.10747259	0.035729837	0.129846521	0.022064965	0.00532032	0.092151104	0.077564108	0.188481988	0.04469331	0.005668418	0.049360945	0.091861651	0.072253023	0.02672494	0.00950647	0.159020466	0.455894706	0.118157635
GSM3374354_non	0.022361813	0.11031884	0.208456939	0.198647452	0.073147294	0.127628487	0.125782205	0.059150022	0.043157475	0.039021089	0.144435586	0.099887097	0.037301646	0.02442181	0.053541752	0.068951966	0.124278645	0.124482742	0.160252007	0.597219362
GSM3374355_non	0.130269063	0.186271047	0.16173528	5.46E-05	0.235802545	0.049302019	0.02460772	0.087257513	0.048172062	0.092895177	0.087236441	9.24E-15	0.048879019	0.250098465	0.100786916	0.025941657	0.010594919	0.056603037	0.599536988	0.084248969
GSM3374357_non	0.011190496	0.053132482	7.04E-15	0.007295973	0.041723845	7.04E-15	0.085387736	7.04E-15	0.204395437	0.007614467	0.001971691	8.63E-15	0.053038299	0.012169094	0.01788746	0.032318231	0.008263395	0.264876118	0.178862288	0.044525427
GSM3374358_non	0.002407829	0.093352488	0.021464026	0.066982254	0.179138424	0.155924142	0.010558095	7.35E-15	0.065166131	0.016608174	0.022610638	0.03100795	0.056373256	0.18593919	0.010236923	0.047744628	0.039161613	0.151153981	0.391812768	0.130419311
GSM3374359_non	6.76E-15	0.171067967	0.018518048	0.002425081	0.048057134	6.76E-15	0.035284935	0.011902734	0.123503333	3.68E-05	8.47E-15	0.007021561	0.065041439	0.021889608	0.05104203	0.025157382	0.002262929	0.283120849	0.048671579	0.015564845
GSM3374360_non	0.000425547	0.033179143	0.016344811	8.00E-13	0.050673182	0.021953281	0.086256612	0.131491006	0.074352376	1.31E-14	1.31E-14	0.019321455	0.055205264	0.069956569	0.008297232	0.095602246	0.012729765	0.060487526	0.064885555	0.197315576
GSM3374361_non	0.051116292	0.082685115	0.003899496	0.010616531	0.032307881	0.018006751	0.182683371	5.30E-15	0.151593922	0.026708101	5.27E-15	0.04723336	0.109913363	0.008798299	0.048637501	0.053797121	0.003251793	0.390140829	0.123186908	0.12717074
GSM3374363_non	0.418542302	0.111647459	0.047213232	6.19E-15	0.055686733	0.007356753	0.019138797	6.19E-15	0.065421062	0.397646101	7.37E-12	0.013851421	0.024208972	0.048558523	0.062550965	0.003502509	0.001127857	0.302911877	0.237273462	0.137498721
GSM3374364_non	2.39E-13	0.073420247	8.85E-15	0.009124809	0.044093772	0.091010044	0.117329598	0.048761397	0.027124347	0.028724159	0.015505198	1.28E-14	0.110554046	0.06411881	0.029110083	0.133673257	0.060709844	0.145920352	0.146833216	0.277739088
GSM3374365_non	0.087286935	0.086256206	0.029713782	0.057798761	0.026203943	0.015024397	0.192740602	6.58E-15	0.173564708	0.109297741	0.013574027	0.088333383	0.061554949	0.018465278	0.033479621	0.062258695	0.002781405	0.391040866	0.11367648	0.11173336
GSM3374367_non	3.19E-12	1.01E-14	0.007768225	0.005559011	0.0028753	0.008476061	0.134902412	0.266938412	1.01E-14	0.004217615	1.51E-14	0.023717921	0.000682882	0.004098449	0.018332251	0.064345027	0.076427652	0.02308379	1.42E-14	0.068726951
GSM3374371_non	0.027580934	0.074456378	8.07E-15	0.009614982	0.014833008	0.013733569	0.20750356	0.081117572	0.137354048	0.014220277	8.41E-15	0.077190182	0.031307162	0.011958672	0.085234095	0.06496258	0.021535575	0.248175767	5.40E-12	0.159292112
GSM3374372_non	0.02690659	0.058556454	1.43E-07	0.013977938	0.0235996	0.029821259	0.19693856	0.080737928	0.142014986	0.009058282	9.20E-15	0.040930098	0.046842713	0.021528221	0.029321615	0.023861209	0.024569379	0.320897777	0.134551145	0.115776961
