ID	S01_CD4	S02_CD4	S03_CD4	S04_CD4	S05_CD4	S06_CD4	S07_CD4	S01_CD8	S02_CD8	S03_CD8
GSM3374350_response	0.047593827	0.023771653	0.082431878	0.037330265	0.099286159	0.04556109	1.02E-14	0.00533355	0.057896395	0.044652495
GSM3374352_response	0.038919304	0.079534153	0.053888045	0.080145104	0.120659048	0.032276072	7.99E-15	0.134390349	0.130086251	0.041712674
GSM3374356_response	0.100165358	0.057375032	0.069009757	5.57E-10	0.09587147	0.068109927	0.020444872	0.065129239	0.137802143	0.108377631
GSM3374362_response	0.248844928	1.14E-14	0.018162077	1.14E-14	0.034875565	0.048278132	0.013799289	7.79E-15	0.10135339	0.51515783
GSM3374366_response	0.09714714	0.164997778	0.005187887	0.18355022	0.03653799	0.035823844	0.072834189	0.149708342	0.112523407	0.15238733
GSM3374368_response	0.11015179	0.162367388	1.19E-14	0.107089507	0.013713184	0.069716998	0.028370435	0.163758322	0.161553254	0.329178886
GSM3374369_response	0.132421042	0.102345541	0.112360251	0.06340223	0.067413195	0.005329355	0.05573101	0.215681247	0.116221676	0.128230149
GSM3374370_response	0.022436632	0.020403974	0.068827175	1.03E-14	0.06167404	0.101184136	0.094662294	0.015151991	0.00714746	0.027352778
GSM3374386_response	0.003943518	0.067314783	0.032033942	0.237365324	0.002449404	0.061017264	0.005796258	4.67E-11	0.299682182	0.064387068
GSM3374396_response	0.051769229	0.091179492	0.040072272	0.135846864	0.039949995	0.099474605	0.010372684	0.17904402	0.057595879	0.094120145
GSM3374401_response	1.69E-14	0.011203861	0.074690734	0.065775223	0.02937516	0.062779245	0.020912906	0.017602167	1.28E-14	1.28E-14
GSM3374412_response	0.02464099	0.088545225	0.001593875	0.23535775	0.025154364	0.080536242	0.088754404	0.140668411	0.114612271	1.56E-14
GSM3374413_response	1.32E-14	0.095539915	1.32E-14	0.142249075	0.032498501	0.050526779	0.083395909	0.205709047	0.135319284	0.016667498
GSM3374414_response	0.059121712	0.047055608	0.042713801	7.08E-15	0.100997484	0.027377835	0.068415599	0.065888064	0.060047924	0.192297571
GSM3374415_response	0.023943238	1.30E-14	0.007977591	0.026302641	1.30E-14	0.146132499	0.049254332	0.061159711	0.026190739	0.003555202
GSM3374353_non	0.060568688	0.14831274	0.053012698	0.021632012	0.094745543	0.040200087	4.85E-09	0.316402542	0.134048209	0.01974611
GSM3374354_non	0.107159594	0.021500301	0.052189772	0.027569637	0.101537184	0.024251731	0.009801763	0.056925457	0.209440969	0.280857256
GSM3374355_non	0.04036407	0.081862636	0.01755432	0.126436858	0.125242262	0.041803146	0.019164535	0.20142612	0.195710462	0.037101762
GSM3374357_non	0.03089863	9.06E-15	0.072085708	9.06E-15	0.071302543	0.028636196	0.057752633	0.050779419	0.000444782	8.34E-15
GSM3374358_non	0.043858964	9.46E-15	0.069902022	0.124340667	0.108501924	0.002594395	0.027181914	0.062178292	0.104499611	0.059673395
GSM3374359_non	0.008090684	0.033890427	0.073748629	0.01867976	0.091369426	0.014661835	0.037438421	0.072684055	0.029738654	1.13E-14
GSM3374360_non	0.007882207	0.004625683	0.067309301	0.0462273	0.044070698	0.125440855	0.030882859	1.33E-14	0.00696752	0.062301201
GSM3374361_non	0.058392108	0.054808491	0.105865427	5.75E-15	0.14032948	0.00816656	0.04569217	0.157692835	0.023044401	0.034870612
GSM3374363_non	0.119461176	0.343270387	0.011464785	0.019688568	0.056152941	0.009126354	0.024868037	0.433004638	0.021347045	0.062485404
GSM3374364_non	1.13E-14	0.030337318	0.051947413	0.00706848	0.055847841	0.049798228	0.029808011	0.003155491	0.017420315	9.57E-15
GSM3374365_non	0.060800857	0.06875128	0.090798606	0.023069959	0.09390751	6.94E-15	0.097963661	0.13406406	0.041386485	0.11530751
GSM3374367_non	0.024660339	0.014269418	0.038411598	1.34E-14	0.053247338	0.154461278	0.04111024	1.55E-14	1.55E-14	0.040666913
GSM3374371_non	0.064352471	0.086469123	0.075333278	9.91E-15	0.060453872	0.040011729	0.058932501	0.084877222	1.34E-14	0.024452425
GSM3374372_non	0.025920507	0.005015192	0.113989778	0.005815621	0.075850065	0.068775517	0.141494121	0.110503241	0.050824664	0.06948264
GSM3374373_non	0.009156202	0.017434161	0.111063827	7.78E-15	0.07239242	0.032722093	0.093477659	0.049928758	0.017122848	0.063699164
GSM3374374_non	0.056468382	0.036513185	0.086521771	1.25E-14	0.074207574	0.043798999	0.111779159	0.070067283	0.015576743	0.1676773
GSM3374375_non	0.018342872	0.119018754	0.16957842	5.46E-09	0.046701451	0.013940812	0.005732755	0.32809903	0.053991467	1.51E-14
GSM3374376_non	0.053311296	0.008146336	0.030560558	0.013369965	0.058742012	0.086838898	0.137756641	0.060256129	0.05414228	0.05684094
GSM3374377_non	0.033324094	0.023932473	0.103674378	3.62E-08	0.089908537	0.000716174	0.093143259	0.102251369	0.046853923	8.34E-15
GSM3374378_non	0.073855748	0.145859887	0.107581375	9.26E-15	0.10034051	0.04458667	0.026336198	0.27687651	0.073962824	0.039984787
GSM3374379_non	0.013697733	0.030844593	0.031534573	1.03E-14	0.051649833	0.073786973	0.043680939	0.03572438	0.003825852	0.019126757
GSM3374380_non	0.139655945	0.073534969	0.086269624	0.019601401	0.048719302	0.008592836	0.040165838	0.122004983	0.184133188	0.290641604
GSM3374381_non	0.044594972	0.035689631	1.11E-14	0.041341519	0.020797002	0.174714391	0.050825627	0.027031823	1.01E-14	0.023098941
GSM3374382_non	0.019662228	0.089712465	1.19E-05	0.09059698	0.023092271	0.162342968	0.012441352	0.013250709	1.11E-14	0.018077934
GSM3374384_non	8.24E-15	0.061830574	0.122824422	8.24E-15	0.014531383	0.135063482	0.020933863	0.012509255	0.028167809	0.113681454
GSM3374387_non	0.025316655	0.017034075	0.111791656	0.034625063	0.021553328	0.186419338	0.009510982	0.015217584	0.02366557	0.103050709
GSM3374388_non	0.013774418	0.00333508	0.027221483	0.169555519	0.004275648	0.087699201	0.02376511	8.25E-15	0.286325831	0.059008258
GSM3374392_non	0.022489293	1.03E-14	0.06030048	0.000337244	0.025323864	0.042885021	1.03E-14	0.046899895	0.030754092	0.058349197
GSM3374394_non	0.015313338	0.060508698	0.034762318	0.082320728	0.087397575	0.055723646	1.34E-14	0.037232931	0.012232052	1.18E-14
GSM3374398_non	0.025451396	1.09E-14	0.069008116	0.024938041	0.020130557	0.158709161	0.08057154	0.023788972	0.001861381	0.011506882
GSM3374400_non	0.028684496	0.014710903	0.129053619	0.005058897	0.040409718	0.103550821	0.038807868	0.024197118	0.056091983	0.002826249
GSM3374402_non	0.031719015	1.05E-14	0.047646097	0.013784768	0.046888886	0.066070486	0.086775043	0.014995187	0.028865756	0.179677083
GSM3374403_non	0.043848902	1.30E-14	0.033479536	0.009745804	0.034581543	0.094145958	0.069390545	0.04092731	0.071132717	0.20000095
GSM3374404_non	0.035293889	0.059023537	1.25E-14	0.005234955	0.041389141	0.114120152	0.233310883	0.082796118	0.001362321	1.19E-14
GSM3374405_non	0.049015639	0.233454848	1.09E-14	0.115965512	0.025785107	0.051025823	0.071607249	0.438019099	0.116060453	9.94E-15
GSM3374406_non	0.047335131	0.120669548	1.20E-14	0.164173396	0.046294832	0.065057429	0.088336358	0.189913567	0.033515836	1.24E-14
GSM3374407_non	0.099400914	0.225983086	0.003578785	0.064955916	0.021571499	0.064180604	0.141430452	0.215851046	0.03994023	0.007411303
GSM3374408_non	0.058383063	0.101296206	0.043027279	0.207553445	0.049981872	8.81E-15	0.022369028	0.050895983	0.269947285	0.060532273
GSM3374409_non	0.034336404	0.104417932	0.005797087	0.043847318	0.015463188	0.085583256	0.209803364	0.220551239	1.33E-14	0.063420064
GSM3374410_non	0.044835472	0.175730841	0.027958842	0.096722227	0.017828312	0.041343381	0.100860962	0.324678596	0.111206931	0.112641212
GSM3374411_non	0.02073417	0.106617327	1.12E-14	0.121745617	0.139527036	0.067384428	0.047276297	0.276841805	1.21E-14	1.21E-14
