id	GSM3374350_response	GSM3374352_response	GSM3374356_response	GSM3374362_response	GSM3374366_response	GSM3374368_response	GSM3374369_response	GSM3374370_response	GSM3374386_response	GSM3374396_response	GSM3374401_response	GSM3374412_response	GSM3374413_response	GSM3374414_response	GSM3374415_response	GSM3374353_non	GSM3374354_non	GSM3374355_non	GSM3374357_non	GSM3374358_non	GSM3374359_non	GSM3374360_non	GSM3374361_non	GSM3374363_non	GSM3374364_non	GSM3374365_non	GSM3374367_non	GSM3374371_non	GSM3374372_non	GSM3374373_non	GSM3374374_non	GSM3374375_non	GSM3374376_non	GSM3374377_non	GSM3374378_non	GSM3374379_non	GSM3374380_non	GSM3374381_non	GSM3374382_non	GSM3374384_non	GSM3374387_non	GSM3374388_non	GSM3374392_non	GSM3374394_non	GSM3374398_non	GSM3374400_non	GSM3374402_non	GSM3374403_non	GSM3374404_non	GSM3374405_non	GSM3374406_non	GSM3374407_non	GSM3374408_non	GSM3374409_non	GSM3374410_non	GSM3374411_non
Bcells_SIGLEC10	531.87888863352	759.271235430812	486.184859890776	800.238337944234	745.049242635297	896.739131254177	570.356221081607	312.27860586802	872.873351064136	696.351723650251	596.50896152548	751.675915456232	745.450009776414	655.385100640244	422.046492491963	731.193087316033	812.218512643241	759.3372552947	317.586076889805	255.503328447027	308.614716002785	359.060960847514	584.911891876724	870.35262877547	348.454479974875	421.980472628075	604.845666838394	408.159246973677	407.75847983256	347.745604473469	348.69456449622	660.63206401228	349.110403530629	222.157605648702	568.971396677321	318.094337837507	564.295946438772	332.439388771547	592.794091249764	477.590468261757	779.048651216939	811.920871556616	323.341301209543	520.439283360813	533.061865972733	819.805049125975	355.718992032685	250.870963826075	391.118157742782	823.475622693513	685.745242777612	728.408920545519	816.548430816364	686.401166333366	814.881231064495	414.385152653495
Bcells_RIMS3	1175.77423280434	1355.39937215752	1148.10462442519	783.613064839211	914.010557234204	980.699493416044	1089.00838948345	1146.66955768554	1149.51413182314	1273.02355048384	1091.44260747748	1275.57941047398	1174.07068289271	759.056513769646	947.215087429886	1287.79548621025	1160.55939155686	1410.08665196539	846.606701054949	1195.30209674197	1084.18647627936	629.171415858403	693.728858225865	885.460067595688	756.211939632043	1090.17173482232	698.550771429953	644.356065719244	709.787004765618	644.929155170426	712.580571289711	744.736786111185	682.559522920739	749.665547440937	773.028302016186	770.101773503362	700.984989423985	1135.19440416468	1087.31275901568	855.793247470346	699.714116768827	685.547377526593	658.06018067212	1163.48592006968	699.648048577901	693.82057085795	780.639415204536	757.647006371695	1155.91238339719	891.857366622315	950.72597521909	1140.12316549443	1198.9058292445	1076.00499558009	696.85514096218	1237.06431910844
Bcells_CFD	5623.87579516137	6446.18503523072	5837.48009358852	3561.8185128776	5902.01428795531	3678.11689258618	6285.98408525262	4413.57906043533	5449.72259389069	6144.78964058322	4146.14687279212	4934.25430296847	5653.54612196139	5014.81466589502	2370.43677916399	6505.33099805294	3863.73043335918	6833.46267992708	5234.067181317	5521.09764174574	5707.21441513402	4531.14344439551	2059.7693744877	5931.44971645891	2345.86774368222	3413.17594084965	3348.64174648286	1855.78598571575	3032.25929464007	2115.56673397927	2317.22253818243	3218.37606802836	2445.41595586281	2525.97631878936	2769.76537057348	5258.60371767914	2528.51842961716	6092.78803220132	5812.92533197205	1974.9931292401	1974.32799205443	3025.539612209	3164.70777485573	5813.04395240726	3135.0374480557	2960.88424678502	4447.42844609153	3859.93468224951	3324.08698486639	6048.41323335317	5514.37795931466	5017.35677672282	3324.20560530159	2204.78712036091	2745.22883421133	6440.98085507431
Bcells_TP53I3	3682.026962467	4072.40223784622	3888.69366927227	2623.31937746661	3783.26829733953	3642.62715219501	3656.47709059657	2726.38491153362	3803.89662490079	3870.99239395026	3787.04261896966	3428.03112479921	3553.53784276131	2554.17135286865	2711.77300314313	3762.93889210366	3801.65452736015	3947.99736542407	3350.08305515338	3750.94263146599	3698.58899329313	2399.80154008803	2283.08162932409	3726.80078355277	2761.02083101085	4011.70634568633	2651.53116772624	2637.15469795479	2606.75734664047	2426.19272364196	2665.18966828323	3402.09796366322	1921.86300619316	2567.35753636848	2449.77199672108	2510.53691641064	2719.22150319893	3740.45928410976	3710.06097921828	3684.44889754608	2367.16194766188	2687.66927627713	2581.20747477004	3794.49111902546	3710.12840342167	3440.7664473086	2675.67301563946	2478.26822693478	3069.21730464393	3054.47822318826	3400.63674012546	3270.54320772893	3867.87428966059	2728.62700907426	2634.85878759514	3836.29044683738
Bcells_MUC1	4062.83251213593	8216.28084868096	3381.79257919979	6851.57761847236	6318.87953626128	5282.60217096121	6860.42324904123	6303.81679289793	5748.02467968024	6916.69574791876	5335.46778649747	6980.41230073461	6971.79921094452	3401.01471314895	4618.57138340675	7971.83864035798	4092.62357146276	7045.48833265846	5972.64301276157	6842.82718216328	6844.82734820527	2531.5009995977	4634.16728424271	3746.38704796305	4077.56082809941	6289.08847693445	3491.36898890288	4754.15633593609	3109.21182169894	3233.34974120352	4524.88309571136	5608.04854399831	3763.76891908391	3037.8601403778	6452.68860917827	3385.09731629807	3180.97002543262	5611.3532810966	6353.17945665359	3586.96444837373	2292.50013099377	3521.76871488171	2946.73570026404	3274.27445805585	3047.20326602889	4226.43264437975	4418.03985293921	3897.72013382017	3808.28843485396	4616.57121736476	6751.13906050988	4363.63839175566	6654.39527649909	5273.45923082741	3300.78841448567	7172.69325020549
Bcells_AIF1	3072.90122884662	3271.98393221034	3069.92899840672	3068.63518134518	3083.69111268052	3058.74045084348	3077.90834620466	2902.8188233319	3154.15418531871	3035.92344579234	2951.97124551134	2988.70905974918	3150.40821828111	2957.28602064872	2935.27460764776	3123.80034840122	3211.44528314099	3271.92610812084	2811.9312649299	3186.03698099019	2951.50325417286	2871.89028384172	2932.33535881167	3147.61092902399	2862.30396771738	2821.01967835339	2909.51835376054	2955.38202153208	2854.11117004972	2864.86167033663	2946.49613681482	3043.27678599214	2946.93735948317	2916.87169396033	3073.34245151497	2901.3440012551	3029.2239153637	2963.49149067274	2954.95051423053	3179.5094465712	2953.47928366469	3159.72837840308	2843.62965493566	2942.23008931337	2905.8862249254	2991.26676236844	2711.61778509412	2859.33076641776	2966.71202842703	3078.37633754314	3032.2913169572	3081.35560626233	3137.15098654617	2941.85996615625	3079.88437569649	3003.8695689579
Bcells_PRKCH	559.994110698063	584.941473150738	560.6508974101	558.042822183767	582.283481804341	580.472398168745	547.499450014974	524.676450192525	591.592556146828	567.096683453213	547.889152693569	568.606577243199	566.145077473025	523.391256222982	523.077831561223	572.637236584703	566.783258791454	583.729851149937	522.209112646913	567.658434142513	513.492799805824	528.589409973694	520.820877132484	595.335006306873	529.239488408917	523.729522263736	516.288683467831	546.95922031502	521.044853604729	504.181701686365	510.59494479349	518.23557079064	519.666588783962	508.105069343436	567.434949493967	515.03608011946	524.901150012967	568.381877422757	564.526304362715	532.632123144562	554.024098987221	587.302549246494	510.445105780832	540.690338595584	559.08200911386	538.46700279599	522.439650242794	523.953006912281	576.337550374794	572.294837203926	572.944915639148	561.940998020871	586.875147784358	516.945470179868	582.172430026222	556.887575838069
Bcells_TRIM36	311.093742534469	200.25337317063	207.276494837709	325.369327736315	259.955084689856	246.610749984113	237.01654727752	315.941414433367	323.665579528801	203.102900421167	222.740962075674	221.354813619619	211.843291075312	348.307865148651	302.249368692152	200.812154977423	296.16678211496	202.473659212831	261.524904727029	261.454279600983	241.421816510621	382.303116681007	349.877685185824	300.14114787109	299.748255864597	349.807060059779	328.377224739706	380.237743085528	369.55873179064	364.434431423382	358.673980976619	282.337946544922	373.617649689879	375.703081238357	373.97639027458	352.815776245432	329.106873680732	207.455261071464	196.912088772289	290.691585177903	273.402086755757	264.462995786637	365.129156563175	235.312799070006	240.754093221937	309.707594078414	296.137153634867	302.241773677384	334.963530442908	240.024444280911	227.588633974572	211.395475405802	270.321200517824	329.774596969416	386.694487931045	194.232524563459
Bcells_SNX24	1278.20531232405	1485.77675817388	1507.55815985797	1150.56033275167	1479.53846266609	1356.09522061064	1300.67270788716	1314.50472574511	1216.36843184077	1393.10599683991	1412.84570971888	1237.70977860027	1305.61132738983	871.387477313742	995.502042625689	1551.27542790057	1406.75342273131	1494.79405020469	1264.81960436788	1329.77382941307	1405.98627137386	910.463396008657	898.852349574519	1210.68496126409	1057.14622185319	1086.3123354218	958.544207879459	937.221390053895	912.067585927977	974.13933359009	1274.97183871458	938.286230070809	841.727301610549	1003.240455116	806.878262087136	1063.25671211551	1029.56184631356	1330.59468662347	1263.75476435097	951.671938026976	963.694051956115	1383.67959615027	990.405452677638	1421.10173568041	1094.56836138334	1004.0613123264	962.699441111706	979.077953092755	931.489973752169	1316.93882697471	1495.50705849923	1356.88445644617	1289.23281540878	1066.57262254284	825.531116649272	1285.07758217653
Bcells_PARVG	436.799030453714	627.749362713142	577.885899782332	402.413301796575	609.635154673224	593.046392825318	590.468742995231	11.9373450013294	702.065028156009	294.993996095017	205.859604519354	419.364493827671	646.767698563901	395.704859191741	411.578566458023	656.165929267495	579.252013053889	663.246536411264	186.994946103144	136.600514434546	7.43869193523545	229.849215873333	35.0853320698427	697.896047178416	58.2289610691593	260.685413483225	56.2800730894767	339.763638457244	217.266372660434	1	43.0699665543123	263.002663557868	191.129507125108	338.630350728884	363.066857392282	76.1795033318159	452.388467601924	14.0111681693388	41.7937746746769	1	30.3642439772115	551.749034247006	1	91.7689404800255	232.426865703419	58.7449667057721	297.914542440728	323.918693559037	218.632485931991	642.326918962034	623.622190679766	547.614473225043	707.386061909362	418.848488191058	566.479131641252	497.220041556444
