id	t	df	p.value	Mean non	Mean response	Var non	Var response
GPX8	-3.6928045173466	54	0.000518163391667546	6.906098	7.722667	0.6327844	0.2632638
RNF128	3.46666175067167	54	0.00104143387324735	9.255854	8.767333	0.2230399	0.2039352
KCNJ16	-3.25082565726809	54	0.001984352009724	2.925366	3.480000	0.2243055	0.5921714
RNF39	3.24813984972848	54	0.00200005550577789	5.624878	5.194667	0.1830856	0.2199981
SNHG11	3.23702688971975	54	0.00206628555852087	7.272195	6.886667	0.1630926	0.1348810
RSAD2	-3.09356010486304	54	0.00312927556701734	5.556829	6.669333	1.107267	2.314592
EIF3C	3.10726748845069	54	0.00300896471513738	11.29098	10.92467	0.1596090	0.1326695
PARP9	-3.08175117171834	54	0.00323652291976813	7.72439	8.19600	0.2101702	0.3915400
FCGR1A	-3.03352531354443	54	0.00371124190564397	5.645854	6.373333	0.6113849	0.6893095
TRIM69	-3.03404888067518	54	0.00370575559362198	7.684146	8.217333	0.3509949	0.3053352
FKBP5	-3.04207068772784	54	0.00362263923996203	8.575122	8.968667	0.1502406	0.2796695
OASL	-2.92702948771643	54	0.00499910685858887	6.097073	6.742667	0.5428112	0.5098210
RIMS3	-2.92671993421806	54	0.00500339307657244	5.795854	6.434000	0.6252849	0.2273400
USP18	-2.92253279831622	54	0.00506170657252517	5.826098	6.398000	0.4284444	0.3979743
GPR161	-2.87188006081258	54	0.00581896346179742	5.909512	6.406000	0.3980748	0.1286543
STAT2	-2.86732977438448	54	0.00589189499027485	8.697073	9.128000	0.2259862	0.3110886
SGK1	-2.84478031514124	54	0.00626597190726671	9.019024	9.712000	0.499529	1.086346
ADAP2	-2.87024371996591	54	0.00584509370708607	6.605610	6.966667	0.1616702	0.2083810
NNT-AS1	2.84140728219303	54	0.00632378091495942	6.171463	5.638667	0.4088228	0.3213267
C9orf3	-2.85578488225541	54	0.00608075172313644	8.599756	8.992000	0.2237124	0.1599457
UPP1	-2.81697852843937	54	0.00675740576223123	6.711220	7.215333	0.3260860	0.4248981
GRB7	2.81621509151546	54	0.00677138974814363	6.958049	6.462667	0.3587911	0.2855781
AKR1B10	-2.77627427916196	54	0.00754137604759554	8.028537	9.049333	1.7802978	0.6401638
GPSM1	-2.80895986330221	54	0.00690562518059424	6.950244	7.344667	0.2425624	0.1421552
GGT7	2.81481463569018	54	0.00679711161680768	7.030	6.662	0.22103500	0.09248857
GALNT10	-2.784106297823	54	0.00738430542303298	6.971463	7.383333	0.2374678	0.2485667
SCNN1G	-2.75185162914049	54	0.00805115075870206	4.120732	5.105333	0.957207	2.687927
GAS2L1	-2.78642690574861	54	0.00733834831504639	6.894390	7.251333	0.21496024	0.08094095
PIK3AP1	-2.73164122868814	54	0.00849677831059341	7.696098	8.278667	0.4891144	0.5291695
IRF7	-2.73682426651404	54	0.0083803830559076	7.687073	8.117333	0.2727262	0.2677210
NEU1	2.72413192959266	54	0.00866805141894948	8.77439	8.27200	0.4376852	0.1901886
FAM122B	2.72036405725298	54	0.00875517926466813	8.209024	7.696667	0.4182290	0.3076667
MICALL2	-2.73046888344877	54	0.00852331082316559	7.428537	7.818667	0.27136780	0.08942667
FCER1G	-2.70108361698418	54	0.00921373715869701	7.866585	8.480000	0.4878280	0.7908714
SLC1A1	-2.69039957179321	54	0.00947722949989972	7.736585	8.400667	0.8350880	0.1948781
PARD6B	2.69916061305153	54	0.00926066119723532	6.728293	6.252667	0.4008295	0.1700781
ANKH	2.67180277874185	54	0.00995239698214112	9.645610	9.215333	0.3336352	0.1453552
S100A16	-2.68479428121919	54	0.00961821444640991	10.58951	10.94667	0.23871476	0.06758095
TSPAN6	2.66672242360607	54	0.0100859466066046	10.48073	10.02067	0.3577720	0.2385638
MASP1	-2.65775866186362	54	0.010325587588275	5.241220	5.747333	0.2809460	0.7333924
GM2A	-2.67587423623403	54	0.00984653952314438	8.558293	8.923333	0.2139845	0.1769381
FFAR4	-2.64031234610338	54	0.0108069971296024	5.409024	6.394667	1.7951840	0.7740124
PRCP	-2.67143026394666	54	0.00996213417108542	8.961951	9.322000	0.2156761	0.1532457
LHFPL2	-2.66414062826706	54	0.010154442192912	7.503171	7.878667	0.2110072	0.2386124
