id	S01	p.value_S01	S02	p.value_S02	S03	p.value_S03	S04	p.value_S04	S05	p.value_S05
B_SIGLEC10	0.450873042	0.000487966	-0.394613034	0.002616113	0.379921699	0.003875804	-0.471936504	0.000240724	0.682026271	7.14E-09
B_RIMS3	0.23171925	0.085725068	-0.108066122	0.427906642	0.525465484	3.21E-05	-0.377700679	0.004106829	0.40929664	0.001734633
B_CFD	0.247719102	0.065657415	-0.197297719	0.144975487	0.391619464	0.002838348	-0.455105356	0.000424918	0.387984902	0.003130568
B_TP53I3	0.245423737	0.068280007	-0.285948733	0.032645901	0.452836818	0.000457728	-0.414556685	0.001490436	0.390329031	0.002939204
B_MUC1	0.327181558	0.013841981	0.092400804	0.498202964	0.579119433	2.93E-06	-0.364546567	0.005740614	0.280795684	0.036058501
B_AIF1	0.32677575	0.013967196	-0.217216707	0.107812291	0.459131017	0.000371903	-0.499497296	8.89E-05	0.581920646	2.55E-06
B_PRKCH	0.363523746	0.005888749	-0.44855414	0.000525997	0.562883323	6.31E-06	-0.590531303	1.66E-06	0.666768169	2.02E-08
B_TRIM36	-0.235419276	0.080702745	0.379156724	0.003954046	-0.360413846	0.006359919	0.37041495	0.004952173	-0.391681159	0.002833604
B_SNX24	0.166140882	0.221039219	-0.241244126	0.073269921	0.375204573	0.004380884	-0.395186356	0.002575361	0.456421755	0.000406872
B_PARVG	0.547840574	1.24E-05	-0.144918662	0.286581782	0.53643188	2.03E-05	-0.656832984	3.85E-08	0.738321743	8.37E-11
B_ITLN1	0.297120597	0.026163125	-0.318893613	0.016599233	0.315510305	0.017852616	-0.366584313	0.00545519	0.401719751	0.002149251
B_FKBP5	0.093060811	0.495125751	-0.258636174	0.054267994	0.291876202	0.029057239	-0.370195702	0.004979823	0.352916366	0.007633646
B_PARM1	0.213932753	0.113373932	-0.311565646	0.01941485	0.383545311	0.003523452	-0.440622178	0.000677241	0.374053827	0.004512564
B_EMB	0.384662722	0.003420668	-0.405034958	0.001958058	0.174650578	0.197952001	-0.373756189	0.004547184	0.44519937	0.000585773
B_LINC00261	0.232611009	0.084492728	-0.232825946	0.084197795	0.422537973	0.001178395	-0.266986835	0.046684274	0.342788252	0.009703766
B_FRMD3	0.243186371	0.070916231	-0.286094427	0.032553466	0.388002941	0.003129054	-0.382375389	0.003633984	0.353868964	0.007460378
B_FFAR4	0.159430995	0.240519747	-0.154853852	0.254463913	0.379502917	0.003918466	-0.34857979	0.008467466	0.361071653	0.006257596
B_LOC643733	0.234169946	0.082371904	-0.247706944	0.065671091	0.250911146	0.062145127	-0.381821407	0.003687384	0.534633996	2.19E-05
B_DENND2A	0.193485509	0.153062365	-0.182708945	0.177720338	0.280328282	0.03638214	-0.29900744	0.025182935	0.279947568	0.036647529
Epithelial_GAMT	0.169359876	0.21209494	0.670829013	1.54E-08	-0.197267061	0.145039226	0.220789448	0.102002582	-0.199836609	0.139769007
Epithelial_KCNH8	-0.215235265	0.111142313	-0.102640887	0.451593192	-0.349650055	0.008254648	0.252362418	0.060599019	-0.228227158	0.090687248
Epithelial_LOC284926	0.289314701	0.030565345	0.106057373	0.436593756	0.325182815	0.01446815	-0.428038383	0.000998904	0.336804549	0.011142369
Epithelial_FAM201A	-0.343485456	0.009547104	0.146660298	0.280767482	-0.115951888	0.394763992	0.279821881	0.036735495	-0.275160735	0.040123282
Epithelial_FAM111B	-0.243014533	0.07112201	0.008292823	0.951630672	-0.504201785	7.43E-05	0.568205957	4.93E-06	-0.395726746	0.002537466
Epithelial_LOC283177	0.086842581	0.524504656	0.390064362	0.002960278	-0.032489158	0.812109332	0.331324579	0.012617756	-0.023586358	0.863007405
Epithelial_LOC728613	-0.16233133	0.231959834	-0.140212373	0.302685988	-0.302142473	0.023622665	0.392210415	0.002793195	-0.097116893	0.476433465
Epithelial_UPP1	-0.251813826	0.061179777	-0.062907905	0.645086593	0.147852905	0.276831291	-0.263825421	0.049446405	0.03862872	0.777440124
Epithelial_KDELR3	-0.116879519	0.390967141	-0.142184457	0.295868007	0.180129497	0.184026466	-0.252343959	0.060618488	0.055881646	0.68248971
Epithelial_FGFBP1	0.083209242	0.542063499	0.05440861	0.690432038	0.13669663	0.315090641	-0.210359866	0.119671588	-0.000107429	0.999373029
Epithelial_GNG4	-0.149797712	0.270491227	0.192296621	0.155651324	-0.189338359	0.162233276	0.198060164	0.143397006	-0.338624651	0.010686473
