id	S01_MM	p.value_S01_MM	S02_MM	p.value_S02_MM	S03_MM	p.value_S03_MM	S04_MM	p.value_S04_MM	S05_MM	p.value_S05_MM	S06_MM	p.value_S06_MM	S07_MM	p.value_S07_MM	S08_MM	p.value_S08_MM	S09_MM	p.value_S09_MM	S01_Den	p.value_S01_Den	S02_Den	p.value_S02_Den	S03_Den	p.value_S03_Den	S04_Den	p.value_S04_Den	S05_Den	p.value_S05_Den	S06_Den	p.value_S06_Den	S07_Den	p.value_S07_Den	S08_Den	p.value_S08_Den	S01_PMN	p.value_S01_PMN	S02_PMN	p.value_S02_PMN	S03_PMN	p.value_S03_PMN
B_SIGLEC10	0.589215604	1.78E-06	0.105492656	0.439053615	0.468440755	0.000271535	0.373211391	0.00461116	0.414560164	0.001490285	0.43095055	0.000914192	-0.348142823	0.008555717	-0.03726434	0.785110016	-0.459468722	0.000367741	0.58444528	2.25E-06	0.459709812	0.000364796	0.138364044	0.30916757	-0.350471582	0.00809446	0.406039145	0.001903218	0.166081374	0.221207004	-0.07478091	0.583859882	0.451621827	0.000476229	-0.348698508	0.008443627	0.355809395	0.007118006	0.476139453	0.000207914
B_RIMS3	0.283019772	0.034551	0.446677479	0.000558717	0.137584167	0.311928926	0.174523196	0.198284432	0.690901723	3.78E-09	0.143592499	0.291061684	-0.591946173	1.55E-06	-0.162927628	0.230226334	-0.211056747	0.118422797	0.187149283	0.167233638	0.31255683	0.019011774	-0.147377369	0.278396388	-0.086661417	0.525373407	0.600968559	9.72E-07	0.239772593	0.075094198	-0.158717402	0.242658541	0.029501875	0.829112956	-0.30843842	0.020734455	0.64955062	6.09E-08	0.060380877	0.658444583
B_CFD	0.390756397	0.002905456	0.469098857	0.000265474	0.180208414	0.183831175	0.007594402	0.955700079	0.679445387	8.55E-09	0.150169743	0.269289524	-0.652258052	5.15E-08	-0.204711999	0.130165098	-0.256835269	0.056027831	0.342490139	0.009771429	0.156141019	0.250488517	-0.223750862	0.097373075	-0.073822144	0.58870526	0.61591747	4.36E-07	0.164897846	0.224562443	-0.194626943	0.150606832	-0.01459594	0.914972939	-0.278447411	0.037708911	0.699663361	1.98E-09	-0.005354382	0.968758789
B_TP53I3	0.351943847	0.007814143	0.41974416	0.001280224	0.218345971	0.105949096	0.176041676	0.194347377	0.651466578	5.41E-08	0.089687155	0.510958227	-0.582159976	2.52E-06	-0.070426889	0.606007364	-0.301656942	0.023858835	0.301391136	0.023988968	0.305029058	0.022258916	-0.152537444	0.261725076	-0.06437751	0.637368735	0.58782827	1.90E-06	0.156529146	0.249298106	-0.215829446	0.110135552	0.034847669	0.798744844	-0.323699208	0.014948491	0.610263862	5.93E-07	0.052061214	0.703157187
B_MUC1	0.275488296	0.039877081	0.425055975	0.001092915	0.192467175	0.155277949	0.095933798	0.481846569	0.587673124	1.92E-06	0.162909015	0.230280307	-0.458986091	0.000373702	-0.365633353	0.005586802	-0.01522606	0.911316664	0.262234351	0.05088611	0.169759547	0.211002418	0.022392532	0.86987962	-0.100606223	0.460658821	0.512825831	5.32E-05	0.262471874	0.050669042	-0.257919697	0.054962686	-0.007007081	0.959123021	-0.072693869	0.594430294	0.532726989	2.37E-05	0.005523155	0.96777456
B_AIF1	0.472816543	0.000233487	0.440042176	0.000689709	0.467172752	0.000283571	0.386941333	0.003219253	0.659699186	3.21E-08	0.435514371	0.000794388	-0.467003274	0.000285216	-0.119318406	0.381088007	-0.379581702	0.003910409	0.436430146	0.000772128	0.547129588	1.28E-05	0.016940553	0.901377765	-0.195000658	0.149809246	0.604363087	8.13E-07	0.313856435	0.018494068	-0.095041692	0.485949687	0.389875322	0.002975412	-0.318028825	0.016912235	0.604668027	8.00E-07	0.381275572	0.003740675
B_PRKCH	0.615594266	4.43E-07	0.237700575	0.077723803	0.351519103	0.007894132	0.361639205	0.006170473	0.732227096	1.43E-10	0.512557923	5.38E-05	-0.715666726	5.69E-10	-0.098401794	0.470591445	-0.546058282	1.34E-05	0.530763932	2.58E-05	0.502384468	7.97E-05	-0.046430666	0.734005645	-0.453521503	0.000447591	0.740266791	7.03E-11	0.238605707	0.076566272	-0.147357187	0.278462943	0.429383268	0.000958943	-0.541375314	1.64E-05	0.640665267	1.05E-07	0.442667634	0.000634881
B_TRIM36	-0.335335406	0.011522508	-0.303331065	0.023052823	-0.195787253	0.148140726	0.004563435	0.973371913	-0.658112423	3.55E-08	-0.136029298	0.317481341	0.699414143	2.02E-09	-0.060994264	0.65519224	0.364788615	0.005706039	-0.249954199	0.063181847	-0.129003035	0.34335135	0.278014625	0.038019794	0.198529594	0.142431543	-0.610629363	5.81E-07	-0.129824668	0.340260408	0.268874521	0.045096067	-0.03527309	0.79634017	0.445892209	0.000572947	-0.613094441	5.08E-07	0.025261626	0.853380864
B_SNX24	0.306814421	0.021449202	0.463033069	0.000326323	0.327270164	0.013814769	0.137838459	0.311026809	0.697505242	2.33E-09	0.234619102	0.081768709	-0.678720366	8.99E-09	-0.211709273	0.117262518	-0.278374447	0.037761176	0.269405243	0.044657605	0.325551738	0.01435078	-0.155236926	0.253276364	-0.136088912	0.317267305	0.62705456	2.33E-07	0.139429238	0.305421424	-0.143593703	0.291057596	0.169963779	0.210445668	-0.384061598	0.003475627	0.65036089	5.79E-08	0.125170618	0.357997909
B_PARVG	0.658412962	3.48E-08	0.328490549	0.013444621	0.446621379	0.000559723	0.431662824	0.000894483	0.563215894	6.21E-06	0.468675141	0.000269362	-0.358795611	0.006617887	-0.375991134	0.004292837	-0.217241613	0.107770928	0.630410769	1.92E-07	0.559648855	7.32E-06	0.128535168	0.345119206	-0.315105357	0.018007896	0.466005124	0.000295081	0.331287182	0.012628375	-0.131591881	0.333671192	0.396501547	0.002483998	-0.115032	0.398550469	0.53605025	2.06E-05	0.508887385	6.21E-05
B_ITLN1	0.409512941	0.001723926	0.338085688	0.010819761	0.163083117	0.229775786	-0.07245462	0.595647447	0.602423214	9.00E-07	0.086047623	0.528322107	-0.660503291	3.04E-08	-0.052921945	0.698481583	-0.281360276	0.03567075	0.378655241	0.004006091	0.059390623	0.663708446	-0.256427506	0.05643264	-0.193939982	0.15208115	0.552543323	1.01E-05	0.229969959	0.088183421	-0.269030261	0.044967037	-0.050896955	0.709498966	-0.305743848	0.02193169	0.611326497	5.60E-07	-0.084579848	0.535406434
B_FKBP5	0.266918079	0.046742974	0.157462054	0.246452561	0.321003715	0.015856182	0.254151993	0.058735316	0.371199485	0.004854335	0.288116405	0.031292967	-0.263437825	0.049794031	-0.137242503	0.313143637	-0.336119953	0.011318139	0.282975103	0.034580753	0.339804514	0.010399631	0.022463299	0.86947198	-0.156711807	0.248739206	0.402503789	0.002102592	0.043441923	0.750555092	0.123823718	0.363234825	0.353184503	0.007584524	-0.288816318	0.030866236	0.243218428	0.070877895	0.363857723	0.005840015
B_PARM1	0.370711282	0.004915016	0.417887515	0.00135219	0.104477801	0.443493619	-0.043176511	0.752030281	0.705168136	1.30E-09	0.047958399	0.725591814	-0.701231851	1.76E-09	-0.007039908	0.958931685	-0.36892326	0.005142988	0.297473883	0.025977198	0.117878519	0.386902377	-0.332331944	0.012334576	-0.150599094	0.2679071	0.662769798	2.63E-08	0.210373391	0.119647256	-0.192162981	0.155944351	-0.021647536	0.874173039	-0.425052522	0.001093028	0.688282169	4.57E-09	-0.088715225	0.515566682
B_EMB	0.497132671	9.71E-05	0.233502762	0.083274368	0.180593926	0.182879322	-0.029207348	0.83079376	0.418496612	0.001328191	0.177829506	0.189783814	-0.631521351	1.80E-07	-0.065754447	0.63017203	-0.2707181	0.043587973	0.43824246	0.000729725	0.067843093	0.619320496	-0.051078806	0.708507113	-0.365480357	0.005608234	0.408525054	0.001773311	0.176177373	0.193998281	-0.207247416	0.125371682	0.098048189	0.472195326	-0.313143763	0.01877646	0.371598288	0.004805256	0.063192588	0.643588596
B_LINC00261	0.335233339	0.011549328	0.32913674	0.013252101	0.091388426	0.50294222	-0.003412771	0.980084566	0.628647631	2.13E-07	0.072580135	0.595008767	-0.674445048	1.21E-08	-0.127390102	0.349469631	-0.188316078	0.164554582	0.272007118	0.042558314	0.138403555	0.309028087	-0.255652505	0.057208547	-0.141569382	0.297983665	0.580222766	2.77E-06	0.231060909	0.086643868	-0.313854853	0.01849469	-0.072431543	0.595764909	-0.334721967	0.011684514	0.590197377	1.69E-06	-0.09456334	0.488157338
B_FRMD3	0.363335784	0.005916333	0.281590786	0.035513436	0.069966218	0.608371866	-0.002392365	0.986038493	0.608289554	6.59E-07	0.100417185	0.46150609	-0.698526189	2.15E-09	-0.035857535	0.79303968	-0.28065754	0.036153906	0.291075275	0.029521954	0.099092918	0.467465101	-0.262644993	0.050511307	-0.182126764	0.179129777	0.613746736	4.91E-07	0.176447184	0.193305489	-0.300525432	0.024416951	-0.054249159	0.691293777	-0.386458624	0.003261023	0.628423204	2.15E-07	-0.082281776	0.546590872
B_FFAR4	0.291071398	0.029524219	0.396079037	0.00251303	0.248988167	0.064242453	-0.050357213	0.712445649	0.617037447	4.09E-07	0.068076438	0.618113093	-0.638037391	1.23E-07	-0.141046901	0.299788524	-0.228942	0.089653619	0.270054955	0.044125602	0.078762417	0.56393413	-0.070399637	0.60614713	-0.193402779	0.153241484	0.569530489	4.63E-06	0.123695374	0.363736259	-0.230652216	0.087218128	-0.083219758	0.54201227	-0.269482359	0.044594186	0.581853261	2.56E-06	-0.100209529	0.462437776
B_LOC643733	0.360941312	0.006277756	0.246356366	0.067204504	0.488895706	0.000131714	0.138734506	0.307861369	0.512022718	5.49E-05	0.048268351	0.723888669	-0.475830616	0.000210178	-0.008101885	0.952743068	-0.349346124	0.008314605	0.397879478	0.002391379	0.275462638	0.039896321	0.111853276	0.411797475	-0.19638919	0.146873251	0.494113741	0.000108708	0.139735601	0.304349428	-0.051553308	0.705921338	0.107555534	0.430105429	-0.378460827	0.004026429	0.518599621	4.23E-05	0.118115365	0.385942378
B_DENND2A	0.323017811	0.015173639	0.441527083	0.000658196	0.084853613	0.534081563	0.025574606	0.8515847	0.594701376	1.34E-06	-0.083460922	0.540838081	-0.526124813	3.12E-05	0.006342356	0.962997959	-0.210157263	0.120036519	0.211868619	0.116980502	0.180205606	0.183838122	-0.315947146	0.017686385	-0.149155305	0.272574679	0.514952015	4.89E-05	0.204276661	0.131001861	-0.20293917	0.133598015	-0.128448598	0.345446933	-0.276416825	0.039185943	0.598961328	1.08E-06	-0.130299331	0.338482675
Epithelial_GAMT	-0.036017313	0.792138006	0.091638988	0.501767107	-0.27321095	0.041614835	-0.19724761	0.145079677	-0.40036688	0.002231936	-0.369516699	0.005066316	0.536319263	2.04E-05	-0.448423493	0.000528217	0.643169953	9.01E-08	0.004324762	0.974764133	-0.318768225	0.016644308	0.074715619	0.584189275	0.267772626	0.046017678	-0.495682002	0.000102551	0.140536109	0.301559842	-0.043072593	0.752608109	-0.347178011	0.008753407	0.646669617	7.28E-08	-0.269973233	0.044192232	-0.307766853	0.021027536
Epithelial_KCNH8	-0.23878483	0.076338826	-0.241789592	0.072602719	0.041635201	0.760614304	-0.032732381	0.81072858	-0.361201244	0.006237609	-0.054693518	0.688893251	0.262404179	0.05073083	0.273268462	0.041570195	-0.005172322	0.969820552	-0.180007346	0.184329036	-0.07658065	0.574813513	0.045778688	0.737605886	0.078479139	0.565341235	-0.225009613	0.095455451	-0.156540424	0.249263575	0.211942031	0.116850748	0.079534464	0.560107548	-0.114641347	0.400164898	-0.357080699	0.0069012	0.065685272	0.630532777
Epithelial_LOC284926	0.283692559	0.034105425	0.511058191	5.70E-05	0.367846388	0.005284724	0.165114006	0.22394698	0.414235483	0.001504414	0.286519999	0.032284712	-0.243291311	0.070790797	-0.548146647	1.23E-05	0.120116873	0.377886332	0.296834238	0.026314649	0.281816357	0.035360051	0.110600965	0.417085244	0.113806273	0.40362874	0.360263349	0.006383533	0.136590101	0.315471505	-0.123782171	0.3633971	0.193776164	0.152434298	0.091233052	0.503671615	0.430284327	0.00093298	0.197735875	0.144066804
Epithelial_FAM201A	-0.258136054	0.054752152	-0.181134568	0.181550433	-0.100152298	0.462694732	-0.009947619	0.941993957	-0.122856305	0.36702484	-0.08413282	0.537573252	0.251890993	0.061097816	0.072812872	0.593825288	0.077113024	0.572149949	-0.263290503	0.049926682	-0.081411826	0.550853957	-0.027050138	0.843126995	-0.110711266	0.416617952	-0.126633522	0.352362567	-0.187246999	0.16700806	0.087675126	0.520521483	-0.030158877	0.825366332	0.126164048	0.35416508	-0.168326649	0.214937712	-0.011334689	0.933922642
Epithelial_FAM111B	-0.330191247	0.012943016	-0.390992743	0.00288694	-0.330788946	0.012770593	-0.175190689	0.196546858	-0.53384367	2.26E-05	-0.289766628	0.030294621	0.482339971	0.000166913	0.416877585	0.00139284	0.133784233	0.325608814	-0.390714501	0.002908749	-0.304157249	0.022663601	-0.111614744	0.412801666	-0.013503411	0.921316438	-0.47489617	0.000217167	-0.222658608	0.099061185	0.10880585	0.424732398	-0.196495092	0.146651094	0.163875457	0.22748936	-0.526638192	3.05E-05	-0.209116821	0.12192394
Epithelial_LOC283177	0.031810419	0.815965464	-0.202977418	0.13352324	-0.373096971	0.004624697	-0.248370183	0.064928397	-0.223196975	0.09822631	-0.126527345	0.352769731	0.211342553	0.117913524	-0.288937768	0.030792686	0.444223509	0.000604279	-0.016914234	0.901530232	-0.343402737	0.009565576	-0.0169901	0.901090758	-0.037838341	0.78188074	-0.267967239	0.045853795	0.075018845	0.582660216	-0.326543455	0.01403931	-0.225064498	0.095372511	0.427916157	0.001002609	-0.19750358	0.144548025	-0.267194803	0.046507089
Epithelial_LOC728613	-0.143219823	0.292328812	-0.339811239	0.010398015	-0.173566853	0.200792908	-0.048771442	0.721127085	-0.198519998	0.142451232	-0.159999241	0.238825849	0.170672665	0.208521219	0.513183491	5.25E-05	-0.099543669	0.465432147	-0.190912062	0.158706928	-0.116287352	0.393388423	-0.200323848	0.13878603	-0.200557545	0.138316401	-0.219154707	0.10463007	-0.225530367	0.094670765	0.003575671	0.979134162	-0.045598595	0.738601353	-0.052436122	0.701119281	-0.219105192	0.104710461	-0.117188488	0.389707315
Epithelial_UPP1	-0.147471828	0.278085037	0.336472297	0.011227378	0.255476532	0.057385921	0.431057478	0.000911209	0.243009205	0.071128398	0.236863751	0.078806262	-0.048772644	0.721120491	-0.13401603	0.324763638	-0.122418839	0.368746527	-0.106137705	0.436244467	0.492567359	0.000115109	0.077994995	0.567749876	0.016766552	0.90238579	0.227771476	0.091350991	-0.087610365	0.520830776	0.373077571	0.004626995	0.28630385	0.032420981	-0.136461464	0.3159318	0.163445022	0.228729487	0.374760185	0.004431329
Epithelial_KDELR3	-0.066880508	0.624311769	0.270141401	0.044055211	0.186924839	0.167752614	0.277234715	0.038585374	0.236807889	0.078878943	0.02333168	0.86447262	-0.305016657	0.02226463	-0.014267993	0.916876544	-0.119590047	0.379996975	-0.028755271	0.833375132	0.279612208	0.036882629	0.12269496	0.367659258	-0.100459731	0.461315323	0.225973186	0.094007473	-0.093283093	0.494091608	0.07121206	0.601986533	0.023350347	0.864365209	-0.25200783	0.060973888	0.150954208	0.266767293	0.099195336	0.46700276
