id	S01_Fib	p.value_S01_Fib	S02_Fib	p.value_S02_Fib	S03_Fib	p.value_S03_Fib	S04_Fib	p.value_S04_Fib	S05_Fib	p.value_S05_Fib	S06_Fib	p.value_S06_Fib	S07_Fib	p.value_S07_Fib	S08_Fib	p.value_S08_Fib	S01_End	p.value_S01_End	S02_End	p.value_S02_End	S03_End	p.value_S03_End	S04_End	p.value_S04_End	S05_End	p.value_S05_End
B_SIGLEC10	-0.423057664	0.001160277	0.445325007	0.000583428	0.352449457	0.007719845	0.094692914	0.487558821	-0.295068158	0.027265529	-0.446897914	0.00055478	0.746439338	4.01E-11	-0.102078051	0.454091099	0.26287062	0.050306331	0.569936165	4.54E-06	0.501567183	8.22E-05	-0.645339454	7.90E-08	-0.455379272	0.000421104
B_RIMS3	-0.214103301	0.113079792	0.644852996	8.14E-08	0.010371755	0.939525271	0.266492283	0.047107843	-0.14037918	0.302105394	-0.361695423	0.006161901	0.34028959	0.010283648	-0.423729876	0.001137212	0.669854709	1.64E-08	0.276084132	0.039432433	0.270272131	0.043948936	-0.385388947	0.003355296	-0.311692625	0.01936281
B_CFD	-0.202103416	0.135239793	0.673276074	1.31E-08	0.019492163	0.886614345	0.206639183	0.126509219	-0.063113942	0.644002291	-0.34541129	0.009125704	0.373214797	0.004610758	-0.43218519	0.000880273	0.734991052	1.12E-10	0.267600678	0.046162873	0.256507669	0.056352871	-0.383854889	0.003494706	-0.314953626	0.018066375
B_TP53I3	-0.213815632	0.113576268	0.629195398	2.06E-07	-0.028459917	0.835062558	0.268529374	0.045383103	-0.171259966	0.206936259	-0.422923467	0.001164931	0.449876693	0.00050399	-0.407874512	0.001806518	0.608234318	6.61E-07	0.275471774	0.039889469	0.347942486	0.008596444	-0.46352883	0.000320911	-0.292594795	0.028645518
B_MUC1	-0.097109557	0.476466932	0.619368392	3.60E-07	0.018560948	0.89199812	-0.05322275	0.69685018	0.096152716	0.480842493	-0.207547416	0.124813473	0.295258685	0.02716158	-0.279241118	0.03714423	0.629473696	2.03E-07	0.177272923	0.191196228	0.319727251	0.0163022	-0.326984187	0.01390276	-0.107227447	0.431521654
B_AIF1	-0.261692632	0.05138401	0.634831779	1.48E-07	0.379382905	0.003930768	0.056497933	0.679176857	-0.00166757	0.990268044	-0.333743557	0.01194697	0.682098171	7.10E-09	-0.160644482	0.236912372	0.525598984	3.19E-05	0.427422283	0.001017706	0.60322534	8.63E-07	-0.494444112	0.000107383	-0.35679981	0.0069486
B_PRKCH	-0.543931335	1.47E-05	0.712368656	7.40E-10	0.394056388	0.002656228	0.294752565	0.027438447	-0.206311063	0.127126114	-0.611707494	5.48E-07	0.752007888	2.38E-11	-0.365844876	0.005557289	0.593776271	1.41E-06	0.645583614	7.78E-08	0.526801554	3.03E-05	-0.747537772	3.62E-11	-0.645186114	7.97E-08
B_TRIM36	0.391904361	0.0028165	-0.603715454	8.41E-07	0.020443682	0.881118429	-0.507959324	6.43E-05	0.227667624	0.091502791	0.585202813	2.17E-06	-0.310474483	0.01986695	0.54838317	1.21E-05	-0.640930991	1.03E-07	-0.407267392	0.001838008	-0.091223392	0.503716984	0.537355672	1.95E-05	0.464573776	0.00030977
B_SNX24	-0.245039585	0.068726988	0.639166081	1.15E-07	0.160045504	0.238688302	0.226209558	0.093654901	-0.080683445	0.554435483	-0.442725508	0.000633718	0.463268363	0.000323744	-0.437553434	0.000745592	0.632188816	1.73E-07	0.411874986	0.001610793	0.273091454	0.041707711	-0.492641814	0.000114793	-0.382027373	0.00366745
B_PARVG	-0.194697023	0.150457028	0.562368147	6.46E-06	0.418333729	0.001334571	-0.102715768	0.451261434	-0.118378948	0.384875673	-0.219565532	0.103964896	0.814982118	2.10E-14	-0.13441465	0.323313446	0.472368332	0.000237148	0.442596553	0.000636312	0.673542083	1.28E-08	-0.494109183	0.000108726	-0.30633155	0.0216657
