id	S01_CD4	p.value_S01_CD4	S02_CD4	p.value_S02_CD4	S03_CD4	p.value_S03_CD4	S04_CD4	p.value_S04_CD4	S05_CD4	p.value_S05_CD4	S06_CD4	p.value_S06_CD4	S07_CD4	p.value_S07_CD4	S01_CD8	p.value_S01_CD8	S02_CD8	p.value_S02_CD8	S03_CD8	p.value_S03_CD8
B_SIGLEC10	0.321610226	0.015647938	0.55252993	1.01E-05	-0.26581452	0.047693425	0.522721425	3.58E-05	-0.23788187	0.077490851	-0.053537606	0.695144027	-0.235235625	0.080946423	0.400913965	0.002198164	0.573287025	3.87E-06	0.221953942	0.100162256
B_RIMS3	0.005489844	0.967968817	0.236077751	0.079833799	-0.386178641	0.003285469	0.491869946	0.000118107	0.239312078	0.07567245	-0.094814935	0.486995544	-0.105687095	0.438205782	0.177091389	0.19165852	0.280069673	0.036562238	-0.172471087	0.203694659
B_CFD	0.06008772	0.660001211	0.320949189	0.015875019	-0.421752205	0.001206273	0.426142839	0.001057772	0.249909214	0.063230922	-0.117181697	0.389734979	-0.283919958	0.033955906	0.267462583	0.046279755	0.165393434	0.223153117	-0.157320059	0.246884238
B_TP53I3	0.029900244	0.826840759	0.302477752	0.023460734	-0.153326048	0.259237607	0.456133623	0.000410762	0.140539884	0.301546728	-0.133012969	0.328430982	-0.345326621	0.009143886	0.168566531	0.214275344	0.277071387	0.038704693	-0.125384025	0.357172417
B_MUC1	0.141978491	0.296575373	0.242994103	0.071146507	-0.226980701	0.092511828	0.45145912	0.000478758	0.237146987	0.07843856	-0.263749918	0.049513965	-0.155922948	0.251159044	0.301672763	0.023851108	0.231459981	0.086085994	-0.057441745	0.674115069
B_AIF1	0.284663772	0.033470635	0.447949098	0.000536351	-0.169580566	0.21149118	0.482536731	0.000165742	0.106514553	0.434607985	-0.227811553	0.091292464	-0.344090113	0.009413017	0.359139698	0.006562282	0.666510675	2.05E-08	0.111177849	0.414644587
B_PRKCH	0.245680318	0.067982757	0.529472209	2.72E-05	-0.483140242	0.000162198	0.672305947	1.39E-08	-0.120256228	0.377329207	0.010706947	0.93757468	-0.225112495	0.095300027	0.326110312	0.014174627	0.560365272	7.08E-06	0.029919377	0.82673166
B_TRIM36	0.019387972	0.887216472	-0.251121192	0.061919412	0.36010161	0.006408997	-0.48189044	0.000169616	0.002840529	0.983423407	-0.143196045	0.292409779	0.301540516	0.023915761	-0.183562472	0.175668512	-0.183420374	0.17600891	0.187437098	0.166569852
B_SNX24	0.139026573	0.306834087	0.240851819	0.073752787	-0.366505665	0.005465971	0.505527411	7.07E-05	0.141746659	0.297372884	-0.156680133	0.24883606	-0.300574809	0.024392368	0.122506673	0.368400456	0.353198077	0.007582044	-0.047160002	0.729984962
B_PARVG	0.400786205	0.00220601	0.579198081	2.91E-06	-0.415285299	0.001459158	0.546624527	1.31E-05	0.001931278	0.988729137	-0.365439816	0.005613926	-0.05434263	0.690788572	0.534916355	2.17E-05	0.677789086	9.59E-09	0.185024844	0.172193068
