id	t	df	p.value	Mean non	Mean response	Var non	Var response
SIGLEC10	-2.36365831594411	29.8570729781709	0.0248028283495711	529.9433	656.1525	40524.37	27940.58
PRKAR2B	1.29778572106941	36.806398937426	0.202435637675762	931.9673	931.5937	1.4996762	0.6948397
RIMS3	-3.42230480980307	31.7694124078716	0.00172742696008518	 888.6555	1084.2121	50089.59	30652.31
FAS	-2.04680453284321	25.2417247043685	0.0512230647654155	4502.659	5066.769	850145.2	828346.8
CFD	-2.88760738392381	32.8540687380397	0.00681632097721389	3908.378	5030.851	2410977	1384494
PTGER2	-1.28761235155527	25.9075239795489	0.209264772623294	906.9913	932.2437	4484.988	4128.515
CCR2	-2.69795349192433	28.0111113103774	0.0116830734866922	523.4332	592.7971	8635.071	6755.766
TP53I3	-2.19927960801916	28.3254524109681	0.0361823107648072	3092.321	3452.310	355390.4	271870.3
MUC1	-2.69809022380375	26.0707863787426	0.0120690142073548	4627.012	5816.679	2289017	2078835
AIF1	-2.09468212058329	32.0345621268677	0.0441944729368855	2985.849	3052.022	15461.572	 9313.511
PRKCH	-2.10467871752888	30.4039669658562	0.0436876979988462	544.0248	559.0907	745.1421	496.0018
TRIM36	2.12682739853561	28.6523174346015	0.0421737838526499	297.8481	262.4521	3731.128	2789.610
SNX24	-2.79784935937921	29.67283595327	0.00894625660608269	1128.520	1287.029	45262.44	31586.08
IL18BP	-2.04139794039184	22.8235560547894	0.0529377116227984	1345.386	1440.464	20328.08	25101.62
FAM107B	-1.33395857462136	28.9676748711471	0.192610973854625	4927.290	5199.367	568598	415986
PARVG	-2.88539361862792	30.9794245856772	0.00705763194210894	285.8547	461.7513	55305.23	35510.10
ITLN1	-2.85663272576142	30.8920697384413	0.00759183983607978	26521.38	41175.93	390299733	251961979
MS4A6A	-2.03577634113993	21.5842827464766	0.0542309409974044	2995.232	3237.088	117875.9	168587.3
FKBP5	-2.79491661241303	20.1774683596512	0.0111208855712613	1747.114	2501.814	518273.6	904098.4
PARM1	-2.55066799129139	29.1791083606246	0.0162554170687567	13812.34	17465.66	28308491	20415425
EMB	-2.34974944137114	30.3016111551633	0.0254900503719587	2997.970	3326.901	283766.3	190122.5
CCNYL1	1.29973064983432	24.1707622414597	0.20595291320998	1006.981	1006.179	3.961285	4.258436
LINC00261	-2.28616794177957	25.8365008099019	0.0306922280067918	4686.611	6245.238	5396977	4997534
TRIM13	0.47150398755348	23.5405287013422	0.641621625025301	375.1480	374.6046	13.19605	15.10091
AC006026.13	-0.54575516332953	21.7654697108141	0.590784494344166	139.5913	144.2339	615.4551	860.3175
FRMD3	-2.44242001096599	34.7432739956128	0.0198202089464918	2768.752	3496.358	1508157.4	 779436.1
FFAR4	-3.63668841715936	35.9440101937386	0.00085854356469864	 840.4984	1094.5301	86051.99	41708.11
LOC643733	-2.4272881225068	25.7041796561756	0.0225313253114422	565.6610	672.8121	22447.32	21018.44
LOC344887	-1.74554883720199	27.5069245601135	0.0920521298038432	546.5669	632.0184	30524.7	24779.8
DENND2A	-2.08559302163485	26.6249370763784	0.0467347573390601	2009.627	2420.139	470792.0	408903.8
