id	t	df	p.value	Mean non	Mean response	Var non	Var response
GAMT	3.12204428236074	36.3988716251124	0.00351069766905747	419.1942	357.0617	7079.991	3350.640
KCNH8	2.07967387902508	36.1978871669452	0.0446966728526563	23.29163	20.05139	43.13757	20.63092
LOC284926	-3.03617953323118	28.011845109978	0.00513405564147122	35.58503	37.90020	7.596148	5.942636
FAM201A	3.65395705176826	38.8112146016047	0.000762002905983662	19.51326	18.07680	2.956535	1.236543
FAM111B	2.12820012660033	26.9403789536095	0.0426184087712842	88.98592	76.88832	399.4920	338.5355
LOC283177	2.45504977372399	30.6093568376517	0.0199755722242973	193.6783	160.6511	2653.840	1743.746
LOC728613	3.13074124548891	32.418909409831	0.00367919845755377	758.9714	634.1415	24977.03	14709.08
UPP1	-3.02802240769152	33.8064954642652	0.00468799905477353	100.5531	131.1958	1688.0958	 918.5295
ST3GAL4	-2.01976924410242	23.2241319901916	0.0550903634394347	218.3010	277.6267	8357.494	9883.570
KDELR3	-2.55986307974273	24.6644294631671	0.016994539262847	 793.3796	1057.2549	114497.2	117498.6
QPRT	1.43003750774555	41.0698996054838	0.160270269211787	564.9056	552.2785	1581.8880	 590.7819
EVPL	1.94907356129839	23.9927423951546	0.0630711820266813	188.3201	165.7568	1377.223	1506.332
FGFBP1	-2.21299127158118	26.2815338202849	0.0357826381610357	228.4954	292.1738	9868.313	8809.515
GNG4	2.36360989419517	30.608291472412	0.0246334031145192	195.5604	118.2588	15684.02	10306.11
CEACAM8	2.17549171765559	30.9740681945873	0.037345531424656	13.83184	11.94676	11.171502	 7.175318
CYP2B6	2.80950082216094	34.8359478270514	0.00808279812690178	46.30244	29.72832	593.1612	305.0182
IRF7	-2.86109074491024	24.4125675894341	0.00852525458745833	370.9687	467.8562	12144.37	12758.34
NEU1	3.08611759890739	31.6289572788069	0.00419393675607261	770.5886	611.7621	40417.16	24942.64
JAG1	-3.01431073787196	33.7794840760527	0.00485969453987929	680.5024	974.0829	156224.38	 85133.16
TSPAN6	3.17811842778624	34.9782119230111	0.00309577289532992	2474.213	2024.268	343159.4	175110.1
AZGP1	3.1870942477939	36.4698143836277	0.00294495674442783	272.2544	168.0257	19158.601	 9033.393
IFI35	0.471008492059678	22.1760776441218	0.642235026733903	334.1489	330.4813	536.3755	713.2268
SLC19A2	2.66160980305599	38.2662901504562	0.0113071069544136	203.9407	169.9925	3066.493	1318.378
GRB7	2.60029890085247	26.9353075038849	0.0149379223735288	215.1956	183.2206	1868.911	1584.364
GALNT10	-2.31360614004312	23.7667266666252	0.0296619420279217	227.3675	268.9019	3256.847	3642.698
LYPLA1	2.73868824870465	37.9521469567959	0.00934229680147905	1618.832	1366.586	158524.91	 69251.71
