id	t	df	p.value	Mean non	Mean response	Var non	Var response
LAMC1	-1.84059394113478	25.9949471907036	0.0771242993666693	1821.954	1989.916	97606.72	89199.94
STOM	-1.49211661451368	26.890454409855	0.147308648983987	1657.569	1757.537	55345.01	47081.68
MMP2	-2.08213386809527	25.9997286929512	0.0473130423800186	4125.679	4782.818	1167872	1066863
NREP	-2.55658646594285	25.6072138433685	0.0168595156846479	2394.114	2585.237	63995.21	60416.41
PRCP	2.31514501314049	19.3343232843889	0.0317373405252124	1526.597	1318.787	 50854.67	102250.45
PPP4R1	2.01882586825011	28.5783020730205	0.0529756650623063	681.9761	624.6797	10813.08	 8126.25
ARL4C	-0.316217201018867	27.5570787137289	0.754220480470469	638.7471	642.8518	2151.649	1740.202
COL1A2	-2.8332320684161	29.9639032526545	0.00816526557018154	12930.03	15802.63	14677680	10049882
LTBP1	-1.70820314851351	23.1054280469812	0.101001082439616	1229.243	1364.380	60043.69	71909.04
LOXL1	-2.06293250672043	26.1223077825528	0.0491907490273636	449.0480	468.4062	1039.8638	 940.3997
PRKAR2B	-2.73732305535331	21.9488721257761	0.0120409544245494	430.1404	552.3652	17262.48	23590.43
VASH1	-2.39106314615027	26.7300710878377	0.024111802534686	443.6023	490.2379	4649.574	4005.110
MAOB	-2.17920005647507	24.9618302640264	0.0389638263893883	400.8813	455.1347	6812.589	6804.745
COL16A1	-2.55945652541238	22.1087651237063	0.0178371742612338	 877.2429	1077.5724	53856.19	72190.19
EML1	1.94777848050086	32.5814093117725	0.0601009382905427	191.1768	187.1094	68.91025	40.19951
LRRC17	-2.28534511995959	23.2366079577922	0.0317366105003772	165.2981	191.1792	1243.624	1468.775
MEOX1	1.81449403621882	27.0316652283749	0.0807154760823544	143.9961	140.8981	36.21880	30.47738
PCDH17	-2.21902757850898	23.3193883545729	0.0364858880739522	302.5440	379.0228	11594.87	13575.51
FOXF1	-2.78166639587659	26.3752117333645	0.00985786367680855	1207.024	1320.508	19943.68	17669.91
CILP	-2.24433404889373	27.2021230368238	0.0331438404681528	357.4914	437.4949	15930.78	13232.15
TEK	-2.29724888685044	25.1224542335862	0.0302092178876916	268.8371	307.1890	3095.655	3048.140
PDE1A	-1.71417346443425	22.4375966865586	0.100279724231088	150.9328	173.6364	1589.391	2049.815
PTRF	-0.673074301804391	26.0222232742568	0.506834043493963	985.0982	993.1637	1685.796	1537.135
JAG1	2.29811082520537	32.3069603881506	0.0281734373682451	1704.687	1488.076	139014.36	 82404.06
COL6A2	-2.78330775002879	28.3065286158838	0.00947988117584832	3538.059	4647.449	2105430	1612794
RGL1	-2.90511705342551	25.2460980127735	0.0075307149543921	680.9760	814.5117	23654.05	23038.72
MFAP5	-2.49142804989625	26.102058026327	0.0194023942772086	 856.1311	1110.3830	122839.2	111273.9
C3AR1	-2.14739658975239	26.0993345764964	0.0412212487715545	584.1884	674.3804	20804.06	18849.57
NFATC1	-2.32422056004494	26.2694355318595	0.0281071895176959	364.5032	399.4611	2694.333	2407.607
COL5A1	-2.52581643322036	22.6208185594046	0.0190189781129877	1632.835	1902.226	104751.2	132305.8
C9orf3	3.85050953908511	33.5182922142051	0.000504102475558717	1018.141	 890.575	17918.191	 9908.219
COL6A1	-2.39081054291899	25.1229544300525	0.024620362044171	2675.444	3484.021	1270462	1250907
KAZN	-1.6314725242015	23.4654727182557	0.116140590418817	393.7922	438.4684	7404.763	8539.181
LAMA2	-2.90571718862448	25.2112553272185	0.00752617281774944	351.7038	389.7596	1916.056	1871.927
ERG	-1.04970738064828	26.6419517201546	0.303281968933697	155.9546	161.3039	315.8665	273.9761
GPR161	-1.85614029351674	21.4940007803869	0.0771960997949622	248.9239	251.7713	19.47308	28.17563
COL3A1	-2.21245091304924	26.2735369099164	0.0358269701630963	17341.60	19281.08	9154674	8177734
KANK2	-2.05644015900761	25.2357713934335	0.050219347602021	1371.888	1494.604	39840.21	38838.95
MAFB	-2.39640988139493	28.0390236632171	0.0234683527614203	1357.428	1460.081	24003.96	18742.10
PRKCH	0.785499325208512	23.0579669795331	0.440158225101667	279.2345	275.2269	248.7611	299.4388
MICALL2	2.22148398800436	21.6964597837515	0.03707340535474	512.3763	502.6165	163.0361	229.8815
ADAP2	-2.92061629054363	24.2376605926557	0.00744189858536337	314.9232	420.2458	13603.14	14530.01
TRIM36	-1.72163883438201	35.1311187917625	0.0939308524271792	234.9359	251.4580	1584.2984	 801.8229
FHL5	-1.90613347379113	23.0910519217538	0.0691549466605667	58.70282	67.00673	181.8655	218.1396
TRPS1	-2.18969546125292	30.1853222423426	0.0364093101381677	427.5120	485.6925	10173.926	 6867.388
AMOTL1	-2.19355132938066	26.9103056332502	0.0370871188265692	611.2621	692.2074	16808.04	14276.53
STAT2	-2.1691207285799	22.9062753750151	0.0407026441817161	1829.961	1993.856	53874.76	65924.80
GPSM1	-3.04395376009525	27.7655832645188	0.00506442046744602	553.6436	585.2652	1392.727	1109.231
MRVI1	-2.40977187197418	25.7654659525419	0.0234084298733387	1121.919	1203.449	13234.29	12328.01
MAP1B	-1.62579951970329	21.47612091069	0.118578006361851	489.0954	573.3720	22193.66	32186.44
ZNF521	-2.81164262636264	32.3267936658985	0.00830924409184395	87.93894	96.59703	148.48326	 87.91475
LATS2	-1.26114534948227	20.6822498969241	0.221297082407776	865.4477	973.6302	55671.78	90008.37
SFMBT2	-2.21856466241191	30.1743247348402	0.0341825282602202	151.8256	157.7974	104.37004	 70.49938
SHANK3	-2.49192912519009	29.7729628956041	0.0185052049374351	286.1831	332.1595	4821.048	3342.306
PAPPA	-2.69191625434572	21.8407636497633	0.0133688844716189	241.6074	318.7531	7036.902	9744.983
ALPK2	-3.43708731116336	27.1918823122241	0.00190688768285565	67.74663	78.97610	133.7509	111.1803
XAF1	-1.5268366547942	20.2901046021724	0.142240371810676	1263.079	1458.908	118627.8	203352.7
RUNX1T1	-3.26643293180902	29.830999331401	0.00273896425121763	302.0612	364.2288	5142.817	3551.884
ARL10	-2.26796515345018	36.2405508162348	0.029388418934367	100.5661	111.9694	449.8085	214.6443
TRIM13	-1.97432923412114	32.1550272718832	0.0569857559385837	497.1386	516.4763	1492.8270	 892.8482
THSD7A	-1.82822130136154	31.7013214721745	0.0769404090565785	152.3550	158.4178	168.2746	103.3967
CD84	-2.29245913532768	28.1643103975739	0.0295538295324506	624.5845	711.3481	18853.33	14588.85
SH3PXD2B	-1.14083568129473	26.7260654286684	0.264058407373166	486.2889	560.9774	52375.20	45129.78
AL132709.8	-1.30472688591497	23.9987896537862	0.204359334473984	77.97489	82.77225	139.0001	151.9409
