id	t	df	p.value	Mean non	Mean response	Var non	Var response
KCNH8	-1.51238344638278	23.5578239362155	0.143736729632848	48.13710	52.73775	 92.0348	105.1342
LOC284926	1.10494942979739	27.3006044799791	0.278824791442802	343.9613	328.2790	2538.481	2092.820
GBP2	-1.59018681743792	21.1025859255462	0.126663251693043	1788.367	2376.990	1087496	1657410
QPRT	2.11175188421341	29.8960708791994	0.0431749915305305	815.6976	517.2788	284308.5	195526.8
OAS2	-2.4547881848787	23.4210183428492	0.0219293070112596	2237.387	2385.952	36042.11	41755.04
PLAG1	2.12393779971172	35.765203303708	0.0406607911301569	146.40761	 92.92483	11122.427	 5442.027
FMR1	3.48491738917779	33.7863599683274	0.00138417572527018	2881.339	2282.168	486953.2	265259.3
ZNF93	1.80175596975803	34.7924487499823	0.0802547358444603	616.0221	567.0939	12551.615	 6469.572
IL17A	1.60969349233928	32.6221738776496	0.117100574555907	458.2153	332.2496	96911.65	56400.92
MAP4K3	1.91646798682556	27.1037382887648	0.0659063819509692	1228.661	 746.952	787952.6	659396.8
MST4	2.35627875466241	28.185742536278	0.0256402233343378	1975.464	1620.724	298630.3	230728.9
EPB41L5	4.44286356761646	44.2611482956789	5.86767115514632e-05	887.4486	820.1247	5038.422	1600.992
PDZD8	1.6686553831853	30.433712836912	0.105443284212171	2528.716	2063.861	1129932.1	 750718.2
SLC19A3	-0.312668710463458	33.5020731831004	0.756470419746575	34.34925	34.36634	0.04878174	0.02699945
